"HITId","HITTypeId","Title","CreationTime","MaxAssignments","AssignmentDurationInSeconds","AssignmentId","WorkerId","AcceptTime","SubmitTime","WorkTimeInSeconds","Input.agent_turn_0","Input.option_idx_list","Input.option_list","Input.option_prob_list","Input.user_turn_0","Input.user_turn_1","Answer.comments","Answer.manual_entry","Answer.radio-input","Turkle.Username"
"737771","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30942","52","Thu Oct 20 18:24:48 UTC 2022","Thu Oct 20 18:25:00 UTC 2022","12"," Let me know if there 's anything else I can help you with . ","[0, 1, 2, 3, 4, 5, 6, 8, 9]","[""I need to meet with Barack Obama 10 years from now"", ""Meeting with Barack Obama in 10 years"", ""Set up a meeting with Barack Obama in 10 years"", ""Set up a meeting with Barack Obama next year"", ""Schedule a meeting with Barack Obama 10 days from now"", ""Please schedule a meeting with Barack Obama 10 years from now"", ""i need an event in 10 10 with Barack Obama"", ""i need an event with Barack Obama this year"", ""Schedule a meeting with Barack Obama 10 months from now""]","[""10.11"", ""3.13"", ""0.03"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00""]"," None "," Book a meeting for 10 years from right now with Barack Obama ","","","1","esteng"
"737772","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30943","52","Thu Oct 20 18:25:00 UTC 2022","Thu Oct 20 18:25:09 UTC 2022","9"," I will decline "" Meeting with Josh and Damon Straeter "" . Is that ok ? ","[0, 1, 2, 3, 4, 5, 8, 9]","[""Yes, that's good. Decline my AC / CD Reunion and say that I am going to see Journey instead."", ""Decline my AC / CD Reunion and say that i am going to see Journey instead"", ""Decline my AC / CD Reunion and say that i am going to see Journey"", ""Yes, that's good. Decline my AC / CD Reunion and say that I am going to see Journey."", ""Yes, that's good. Decline my AC / CD Reunion and say that i am going to see Journey Reunion instead."", ""Yes, that's good. Decline my AC / CD and say that i am going to see Journey instead."", ""Yes, that's good. Decline my AC / CD Reunion and say that i am going to see Journey Journey instead."", ""Yes, that's good. Decline my AC / CD Reunion and say that \""It am going to see Journey instead\""""]","[""7.15"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00""]"," i need you to decline the event with Josh "," Yes also decline my AC / CD Reunion and say i am going to see Journey instead ","","","1","esteng"
"737773","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30944","52","Thu Oct 20 18:25:09 UTC 2022","Thu Oct 20 18:25:52 UTC 2022","43","","[0, 1, 2, 3, 4, 6, 7, 8]","[""Kevin will be replacing Steve, John, Kayla, and Thomas."", ""Add Kevin, Steve, John and remove Kayla and Thomas."", ""Add Kevin to the meeting and remove Kayla and Thomas."", ""Add Kevin and John to the event and remove Kayla and Thomas."", ""Add Kevin to the event and remove Kayla and Thomas."", ""Add Kevin to the meeting and remove Steve, Kayla and Thomas."", ""Remove John, Kayla, and Thomas from the 3:30 meeting tomorrow."", ""Kevin will be replacing Steve and John with Kayla and Thomas.""]","[""12.40"", ""8.98"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00""]",""," Please invite Kevin and Steve to tomorrow 's 3 : 30 meeting , and remove John , Kayla and Thomas ","","Add Kevin and Steve to the meeting tomorrow at 3:30 and remove John, Kayla, and Thomas. ","","esteng"
"737774","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30945","52","Thu Oct 20 18:25:52 UTC 2022","Thu Oct 20 18:26:00 UTC 2022","8","","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[""What is my next scheduled event?"", ""when is my next iih"", ""what is my next meeting at ih"", ""What is my first scheduled event?"", ""What's the first thing going on right now?"", ""Show my next meeting with ih"", ""When is my next meeting with ih?"", ""when is my next iih?"", ""What is my next event after this one?"", ""What is my next event with Kim?""]","[""19.72"", ""0.17"", ""0.00"", ""0.00"", ""0.00"", ""0.01"", ""0.02"", ""0.00"", ""0.00"", ""0.00""]",""," what event do ih ave next ? ","","","1","esteng"
"737775","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30946","52","Thu Oct 20 18:26:00 UTC 2022","Thu Oct 20 18:26:12 UTC 2022","12"," I found 2 events not matching "" eating "" . ","[0, 1, 3, 4, 5, 7, 8]","[""Show me events that are not eating."", ""What can you do?"", ""Show me events that are not work related."", ""Show events that are not eating."", ""Do I have anything on my calendar besides work?"", ""Show me events that are not traveling."", ""Do I have any upcoming events?""]","[""15.18"", ""1.10"", ""37.57"", ""0.00"", ""3.08"", ""0.00"", ""0.00""]"," Show me events besides eating . "," Does my calender have anything that is not work ? ","","","3","esteng"
"737776","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30947","52","Thu Oct 20 18:26:13 UTC 2022","Thu Oct 20 18:26:26 UTC 2022","13"," Presidents Day is on Monday , February 15 , 2021 . ","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[""When is Arbor Day in 2021?"", ""Can you schedule a vacation on June 1 next year?"", ""Can you schedule a vacation for the first week of June?"", ""Can you put me down for vacation sometime in June next year?"", ""Can you put me down for vacation during June next year?"", ""i need to add an event for the first week of june"", ""Can you put me down for vacation in June next year?"", ""Can you make me an event for June 1 next year?"", ""Can you schedule a vacation for the first weekend in june?"", ""Can you put me down for vacation on June 6 next year?""]","[""0.72"", ""11.65"", ""1.62"", ""0.01"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00""]"," I would like to know what day presidents day falls on next year please . "," Can you put vacation on the first of June next year ? ","","","2","esteng"
"737777","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30948","52","Thu Oct 20 18:26:26 UTC 2022","Thu Oct 20 18:26:36 UTC 2022","10","","[0, 1, 3, 4, 5, 9]","[""Cancel my meeting with bob this afternoon"", ""Cancel my meeting this afternoon with bob."", ""Cancel the meeting with bob"", ""Cancel the meeting with bob today"", ""Cancel my afternoon meeting with bob."", ""Cancel my meeting today at noon with bob.""]","[""10.48"", ""7.60"", ""0.00"", ""0.00"", ""0.00"", ""0.00""]",""," Cancel my meeting for this afternoon with bob . ","","","1","esteng"
"737778","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30949","52","Thu Oct 20 18:26:37 UTC 2022","Thu Oct 20 18:26:43 UTC 2022","6"," Does one of these work ? ","[0, 1, 2, 3, 4, 5, 6, 9]","[""bye"", ""Yes"", ""How do I confirm?"", ""I want to change the time of my appointment on Thursday."", ""No"", ""Hello. I need help with my calendar."", ""Are you there?"", ""the first one""]","[""16.45"", ""45.51"", ""5.14"", ""0.49"", ""0.24"", ""0.24"", ""0.09"", ""0.00""]"," Hello . I want to schedule my appointment . Select this Thursday . "," OK ","","","2","esteng"
"737779","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30950","52","Thu Oct 20 18:26:43 UTC 2022","Thu Oct 20 18:26:57 UTC 2022","14"," I found one event . It 's a "" Gym Session "" . ","[0, 1, 2, 5]","[""Do I have anything between 4 and 5 pm?"", ""Do I have anything between 4 and 5 pm that day?"", ""Anything between 4 and 5 pm that day?"", ""Is there anything between 4 and 5 pm that day?""]","[""13.46"", ""0.76"", ""0.00"", ""0.00""]"," What do I have next Tuesday afternoon ? "," Awesome . Is there a meeting between 4 and 5 pm that day ? ","","","2","esteng"
"737780","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30951","52","Thu Oct 20 18:26:57 UTC 2022","Thu Oct 20 18:27:07 UTC 2022","10"," Does one of these work ? ","[0, 1, 2, 4, 5, 7, 8, 9]","[""The 2nd one works."", ""The later one works best."", ""fix the second one"", ""I am not sure yet."", ""ok"", ""The 1st one works."", ""The first option."", ""What is the second option?""]","[""15.98"", ""0.09"", ""0.03"", ""0.01"", ""0.00"", ""0.00"", ""0.00"", ""0.00""]"," Can you give me an earlier option ? "," Please do the second work ","","","1","esteng"
"737781","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30952","52","Thu Oct 20 18:27:07 UTC 2022","Thu Oct 20 18:27:28 UTC 2022","21","","[0, 1, 2, 3, 4, 5, 6, 7, 8]","[""I need to change the date of my doctor's appointment"", ""I need help with my calendar"", ""Can you tell me the weather for tomorrow in Greenville, NC?"", ""I need to reschedule my lunch on Tuesday."", ""Can you reschedule my Tuesday lunch?"", ""Can you reschedule my lunch on Tuesday?"", ""Please reschedule my lunch"", ""Can you reschedule my appointment on Tuesday?"", ""Can you reschedule my Tuesday Lunch?""]","[""29.42"", ""2.15"", ""0.67"", ""9.37"", ""0.85"", ""0.00"", ""0.00"", ""0.00"", ""0.00""]",""," I need to reschedule my Tuesday lunch . ","","","4","esteng"
"737782","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30953","52","Thu Oct 20 18:27:28 UTC 2022","Thu Oct 20 18:28:01 UTC 2022","33"," I did n't find any events on your calendar tomorrow at 1 : 00 PM . ","[0, 1, 2, 3, 4, 7, 8]","[""I need to remove an appointment"", ""Please reschedule my appointment at 1 PM to 2 PM"", ""Please change my appointment at 1 PM to 2 PM."", ""Please change my appointment at 1 PM to 2 PM"", ""Can you change the time to 2pm"", ""Please move my appointment at 1 PM to 2 PM."", ""Please reschedule my appointment today at 1 PM to 2 PM.""]","[""0.35"", ""29.49"", ""0.84"", ""0.14"", ""0.00"", ""0.00"", ""0.00""]"," Please remove my appointment at 1 PM . "," Please change my 1 PM appointment to 2 PM . ","","","2","esteng"
"737783","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30954","52","Thu Oct 20 18:28:01 UTC 2022","Thu Oct 20 18:28:09 UTC 2022","8","","[0, 1, 2, 4, 5, 7, 9]","[""Sam and I aren't going to the museum on the 22nd anymore."", ""Cancel my visit to the museum on the 22nd."", ""Delete my meeting with Sam on the 22nd."", ""Delete my event at the museum on the 22nd."", ""I never went to the museum with Sam on the 22nd. Delete it."", ""Sam and I aren't going to the museum anymore on the 22nd."", ""Delete my meeting with Sam at the museum on the 22nd.""]","[""19.95"", ""0.15"", ""0.13"", ""0.00"", ""0.00"", ""0.00"", ""0.00""]",""," delete my event with Sam at the museum on the 22 nd ","","","1","esteng"
"737784","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30955","52","Thu Oct 20 18:28:10 UTC 2022","Thu Oct 20 18:28:19 UTC 2022","9"," Let me know if there 's anything else I can help you with . ","[0, 1, 2, 3, 4, 5, 6]","[""what about the rest of the day?"", ""today's calender"", ""What events do I have that day?"", ""What else do I have that day?"", ""Do I have anything later today?"", ""any other event on my calander today"", ""what is my next event on my calander""]","[""27.60"", ""0.00"", ""0.01"", ""0.55"", ""0.01"", ""0.02"", ""0.00""]"," i payed well "," ok fine , what about the rest of the day ? ","","","1","esteng"
"737785","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30956","52","Thu Oct 20 18:28:19 UTC 2022","Thu Oct 20 18:28:27 UTC 2022","8"," Does one of these work ? ","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[""Show me different times."", ""Show some different timing."", ""The later one."", ""No, I need it to be later in the afternoon."", ""yes"", ""I'll take the later one."", ""The bottom one please"", ""The earlier one please"", ""The first one please."", ""I like the later time.""]","[""22.18"", ""8.11"", ""28.54"", ""0.10"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00""]"," I need to move today 's staff meeting to Thursday afternoon . "," The later one works . ","","","3","esteng"
"737786","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30957","52","Thu Oct 20 18:28:28 UTC 2022","Thu Oct 20 18:28:53 UTC 2022","25"," I can only look up names in your address book . Please use a full name and try again . ","[0, 1, 2, 4, 5, 6, 7, 8]","[""i need john's home address"", ""Who is my boss?"", ""i need to know when my manager is free"", ""Is my boss the organizer of that event?"", ""Do I have a meeting with my boss soon?"", ""Can you find my meeting with my boss?"", ""Who is on my team"", ""when is my boss free?""]","[""23.98"", ""11.75"", ""0.15"", ""0.17"", ""0.34"", ""0.01"", ""0.00"", ""0.00""]"," i need to who know my friend "," Can you tell me if I have a manager ? ","","","2","esteng"
"737787","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30958","52","Thu Oct 20 18:28:53 UTC 2022","Thu Oct 20 18:29:01 UTC 2022","8"," I 've put that on your calendar . ","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[""How do I add an event to my calendar?"", ""what's on my calendar?"", ""The second one, but make it an hour."", ""How many times have I met with Clinton this week?"", ""events"", ""List my events please"", ""Search for \""Meeting\"""", ""Show me all events labeled \""all\"""", ""What is on my calendar for today?"", ""What did I have earlier today?""]","[""24.17"", ""48.91"", ""0.69"", ""0.59"", ""0.03"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00""]"," The first one works "," list all events ","","","2","esteng"
"737788","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30959","52","Thu Oct 20 18:29:01 UTC 2022","Thu Oct 20 18:29:17 UTC 2022","16"," I have accepted it . ","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[""Please accept my personal training appointment and say that I'll bring my own weights to use during our workout."", ""Please accept my personal training appointment and say that I'll bring my own weights to our workout during our workout."", ""Please accept my personal training and say that I'll bring my own weights to use during our workout."", ""Please accept my personal training appointment and say that I'll bring own weights to use during our workout."", ""Please accept my personal training appointment and say that I'll bring my own weights to use during our."", ""Please accept my personal training appointment and say that I'll bring my own weights."", ""Please accept my personal training appointment and say that I'll bring my own weights to use during our __User event."", ""Please accept my personal training appointment and say that I'll bring my own weights to use during our our workout."", ""Please accept my personal training appointment and say that I'll bring my own weights to our workout during our."", ""Please accept my personal training appointment and say that I'll bring my own weights to our workout during our our workout.""]","[""6.88"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00""]"," yes "," Thanks . Accept my personal training appointment and say that I 'll bring my own weights to use during our workout . ","","","1","esteng"
"737789","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30960","52","Thu Oct 20 18:29:17 UTC 2022","Thu Oct 20 18:29:34 UTC 2022","17"," Let me know if there 's anything else I can help you with . ","[0, 1, 2, 3, 5, 6]","[""defer the next meeting with Angelo Louis"", ""update my calender events"", ""have this ending at 11"", ""Can you extend this to 11AM please"", ""Change the time to 11am"", ""Can you change the time to 11am""]","[""0.15"", ""0.12"", ""23.02"", ""1.60"", ""0.00"", ""0.00""]"," YEH LIKE GOOD "," Make it last to 11 : 00 AM actually . Thank you . ","","","3","esteng"
"737790","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30961","52","Thu Oct 20 18:29:34 UTC 2022","Thu Oct 20 18:29:55 UTC 2022","21","","[0, 1, 2, 3, 6, 8]","[""put the meeting with joe on aug 24"", ""put meeting with joe at aug 24"", ""put meeting with joe at aug 24 2019"", ""put the meeting with joe on the 24th"", ""put meeting with joe at aug 24 last year"", ""put the meeting with joe at aug 24 17""]","[""25.75"", ""2.72"", ""0.00"", ""0.00"", ""0.00"", ""0.00""]",""," put meeting with joe last aug 24 ","","","5","esteng"
"737791","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30962","52","Thu Oct 20 18:29:55 UTC 2022","Thu Oct 20 18:30:09 UTC 2022","14","","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[""What do I have planned for January 2nd?"", ""I need to change the date of my doctor's appointment"", ""How old are you?"", ""Can you tell me the weather for tomorrow in Greenville, NC?"", ""I need help with my calendar"", ""What time is my meeting on January 2nd?"", ""What is the name of the event on January 2?"", ""What is my second event on January 2?"", ""What do I have on January 2nd 2019?"", ""Who am I meeting with on January 2nd?""]","[""31.28"", ""0.16"", ""0.13"", ""0.12"", ""0.06"", ""2.74"", ""0.00"", ""0.00"", ""0.00"", ""0.00""]",""," find the type of event scheduled for January 2 nd ","","","1","esteng"
"737792","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30963","52","Thu Oct 20 18:30:09 UTC 2022","Thu Oct 20 18:30:28 UTC 2022","19"," I can only do one action at a time . If you separate your requests , I can help you . ","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[""That's alright."", ""Cancel the event prior to that one."", ""I need to change the date of my doctor's appointment."", ""What do you think the staff meeting will be about?"", ""What can you do?"", ""Yes please cancel."", ""The movies event looks good"", ""yes"", ""Do I have any days that I'm free to go to the movies?"", ""I'm going to the movies on Wednesday.""]","[""37.44"", ""2.72"", ""2.72"", ""0.42"", ""0.27"", ""1.00"", ""6.34"", ""0.00"", ""0.00"", ""0.00""]"," The duration should be for two hours . Cancel the event prior to that one . "," alright you can confirm the movies ","","","7","esteng"
"737793","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30964","52","Thu Oct 20 18:30:28 UTC 2022","Thu Oct 20 18:30:38 UTC 2022","10"," It 's 5 . 71 mph . ","[0, 1, 2, 3, 6, 7, 8]","[""when is sunset today?"", ""when is sunset?"", ""What time does it start?"", ""what time is sunset?"", ""what time is sunrise today?"", ""what time will the sun set?"", ""What is the traffic like?""]","[""35.58"", ""0.20"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00""]"," what are the wind speeds "," when is sunset ","","","1","esteng"
"737794","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30965","52","Thu Oct 20 18:30:38 UTC 2022","Thu Oct 20 18:30:50 UTC 2022","12"," The event on your calendar is tomorrow at 9 : 00 AM . ","[0, 1, 2, 3, 5, 6, 7, 8, 9]","[""When did I last drink a coffee?"", ""Who is Dan Schoffel's boss?"", ""Who are Dan Schoffel's reports?"", ""What is Dan Schoffel contact info?"", ""Is Dan Schoffel invited?"", ""Is Dan Schoffel's manager invited?"", ""Is Dan Schoffel's boss invited?"", ""Who is Dan Schoffel's manager?"", ""Is Dan Schoffel's manager?""]","[""39.20"", ""12.11"", ""0.09"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00""]"," What time is my meeting on Friday ? "," Does Dan Schoffel report to anybody ? ","","","2","esteng"
"737795","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30966","52","Thu Oct 20 18:30:50 UTC 2022","Thu Oct 20 18:31:31 UTC 2022","41"," The event with John last week was on Wednesday the 8 th at 9 : 00 AM . ","[0, 1, 2, 3, 4, 6, 7, 8, 9]","[""when can i meet with john next week?"", ""change the meeting time at 10.00 am - 11.00am"", ""Change the time to 11am"", ""change the time 10.00 am - 11.00am"", ""The meeting lasted until 11:00 AM."", ""change the time from 10.00 am - 11.00am"", ""please change the meeting 10.00 to 11.00 am"", ""please change the meeting 10.00 am - 11.00am"", ""Can you change the time to 10:00 to 11:00 AM?""]","[""0.06"", ""35.35"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00""]"," when did i meet with John last week ? "," Change the time to 10 am to 11 am . ","","","2","esteng"
"737796","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30967","52","Thu Oct 20 18:31:31 UTC 2022","Thu Oct 20 18:32:12 UTC 2022","41"," Is this what you 're looking for ? ","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[""cancel this all day event"", ""Remove Abby from the all day event"", ""cancel the meeting"", ""Delete the all day event without Abby"", ""cancel the all day event"", ""No, cancel that all day event."", ""Delete my all day event"", ""Remove Abby from that"", ""Delete the all day event without Abby please."", ""Remove Abby from my all day event please.""]","[""37.85"", ""1.44"", ""0.01"", ""0.57"", ""0.03"", ""0.02"", ""0.02"", ""0.00"", ""0.01"", ""0.00""]"," Make an all day event for tomorrow with Abby "," Abby just called . She will not be able to make it . Cancel the all - day event . ","","remove the all-day event with Abby","1","esteng"
