"HITId","HITTypeId","Title","CreationTime","MaxAssignments","AssignmentDurationInSeconds","AssignmentId","WorkerId","AcceptTime","SubmitTime","WorkTimeInSeconds","Input.agent_turn_0","Input.option_0","Input.option_0_idx","Input.option_1","Input.option_1_idx","Input.option_2","Input.option_2_idx","Input.option_3","Input.option_3_idx","Input.user_turn_0","Input.user_turn_1","Answer.comments","Answer.manual_entry","Answer.radio-input","Turkle.Username"
"736323","997","TestCalibrationHit","Tue Oct 11 17:15:27 UTC 2022","1","86400","30850","52","Tue Oct 11 17:17:59 UTC 2022","Tue Oct 11 17:18:14 UTC 2022","15"," I 've put that on your calendar . ","group presentation on monday at breakfast","1","reschedule it for sometime on that day","3","Schedule a group presentation around breakfast time next Monday.","0","Schedule a group presentation around breakfast time next Monday.","2"," that looks perfect "," Schedule a group presentation around breakfast on Monday . ","","","3","esteng"
"736324","997","TestCalibrationHit","Tue Oct 11 17:15:27 UTC 2022","1","86400","30851","52","Tue Oct 11 17:18:14 UTC 2022","Tue Oct 11 17:18:26 UTC 2022","12","","Do I have a party tomorrow night?","1","Make an event for my party tomorrow night","0","Change the location to the White House.","3","Do I have my party tomorrow night?","2",""," Tomorrow night is my party , right ? ","","","4","esteng"
"736325","997","TestCalibrationHit","Tue Oct 11 17:15:27 UTC 2022","1","86400","30852","52","Tue Oct 11 17:18:26 UTC 2022","Tue Oct 11 17:18:39 UTC 2022","13","","I will be in Kansas all next week","3","What do I have besides the team meeting?","0","Show me any other team meeting.","1","What events do I have scheduled?","2",""," What else than the team meeting is on my calendar ? ","","","2","esteng"
"736326","997","TestCalibrationHit","Tue Oct 11 17:15:27 UTC 2022","1","86400","30853","52","Tue Oct 11 17:18:39 UTC 2022","Tue Oct 11 17:19:02 UTC 2022","23"," Could you be more specific with your request ? ","Schedule a meeting with Amy and Pam and their managers on the 14th.","3","What do I have scheduled on that day?","2","What do I have on Saturday?","1","What do I have on Wednesday?","0"," can you update my Monday meeting "," what do I have on my calendar for Moday ","","What do I have scheduled on Monday?","","esteng"
"736327","997","TestCalibrationHit","Tue Oct 11 17:15:27 UTC 2022","1","86400","30854","52","Tue Oct 11 17:19:02 UTC 2022","Tue Oct 11 17:19:13 UTC 2022","11","","I need to shift my shift from this morning to late afternoon.","2","Can you schedule a 2 hour brainstorming session this afternoon?","3","I need to shift my shift to later in the afternoon.","1","Please change my shift from morning to late afternoon","0",""," can i shift my shift from morning to late afternoon please ? ","","","4","esteng"
"736328","997","TestCalibrationHit","Tue Oct 11 17:15:27 UTC 2022","1","86400","30855","52","Tue Oct 11 17:19:13 UTC 2022","Tue Oct 11 17:19:33 UTC 2022","20"," Is this what you 're looking for ? ","Yes. I also have a meeting with Nathaniel and Mark the following Monday at 12:15 pm at Olive Garden.","0","I also have a meeting with Nathaniel and Mark the Monday after at 12:15 pm at Olive Garden.","2","Yes. I also have a meeting with Nathaniel and Mark at Olive Garden on Monday at 12:15 pm.","1","Is Easter today?","3"," lunch on march 15 th at 8 . "," Okay , great , can you also mark down a meeting for the following Monday at 12 : 15 at the Olive Garden with Nathaniel and Mark ? ","","","1","esteng"
"736329","997","TestCalibrationHit","Tue Oct 11 17:15:27 UTC 2022","1","86400","30856","52","Tue Oct 11 17:19:33 UTC 2022","Tue Oct 11 17:19:51 UTC 2022","18","","Can you make me an event around 8 pm tonight","3","Cancel my meeting with bob this afternoon","1","Cancel my meeting with bob this afternoon","2","Cancel my meeting this afternoon with bob.","0",""," Cancel my meeting for this afternoon with bob . ","","","2","esteng"
"736330","997","TestCalibrationHit","Tue Oct 11 17:15:27 UTC 2022","1","86400","30857","52","Tue Oct 11 17:19:51 UTC 2022","Tue Oct 11 17:20:08 UTC 2022","17","","Do I have anything scheduled for the day after?","1","Do I have anything scheduled for the next day?","0","reschedule that","3","Do I have anything scheduled for the day after?","2",""," Do I have anything the day after this ? ","","","2","esteng"
"736331","997","TestCalibrationHit","Tue Oct 11 17:15:27 UTC 2022","1","86400","30858","52","Tue Oct 11 17:20:08 UTC 2022","Tue Oct 11 17:20:25 UTC 2022","17"," I 've deleted that . ","Can you schedule lunch on March 15th at 8 pm?","1","Can you schedule lunch on March 15th at 8 am?","0","Schedule lunch on May 15th at 8 am.","2","Update my West Hamptons event to be in the AM","3"," Yes , that 's right . "," Mark lunch on march 15 th at 8 . ","","Can you schedule lunch on March 15th at 8 pm with Mark?","1","esteng"
"736332","997","TestCalibrationHit","Tue Oct 11 17:15:27 UTC 2022","1","86400","30859","52","Tue Oct 11 17:20:25 UTC 2022","Tue Oct 11 17:20:49 UTC 2022","24"," The event matching "" conference "" is on Sunday the 27 th at 12 : 00 AM . ","Do I have any all day conferences scheduled?","1","Can you delete the appointment I have in 9 days?","3","Do I have any other all day events coming up?","2","Do I have any other conferences?","0"," When is my conference ? "," Do I have any other all day conferences ? ","","","1","esteng"
"736333","997","TestCalibrationHit","Tue Oct 11 17:15:27 UTC 2022","1","86400","30860","52","Tue Oct 11 17:20:49 UTC 2022","Tue Oct 11 17:21:13 UTC 2022","24"," Does one of these work ? ","Show me any other team meeting.","3","Schedule a haircut at lunch time on Friday.","2","I need to get a haircut around lunch time on Friday","0","I need to get a haircut this Friday around lunch time","1"," Change the golf game on Saturday to be around 3 pm . "," I need to get a haircut on Friday around lunch , thanks ! ","","","3","esteng"
"736334","997","TestCalibrationHit","Tue Oct 11 17:15:27 UTC 2022","1","86400","30861","52","Tue Oct 11 17:21:13 UTC 2022","Tue Oct 11 17:21:30 UTC 2022","17","","Make me a study session next tuesday at 9 pm","2","Make me a study session next tuesday around 9 pm","0","I need a room at Nerd","3","Make me a study session next tuesday around 9 pm","1",""," Make me a study session event for around 9 pm next Tuesday ","","","2","esteng"
