"HITId","HITTypeId","Title","CreationTime","MaxAssignments","AssignmentDurationInSeconds","AssignmentId","WorkerId","AcceptTime","SubmitTime","WorkTimeInSeconds","Input.agent_turn_0","Input.option_0","Input.option_0_idx","Input.option_1","Input.option_1_idx","Input.option_2","Input.option_2_idx","Input.option_3","Input.option_3_idx","Input.user_turn_0","Input.user_turn_1","Answer.comments","Answer.manual_entry","Answer.radio-input","Turkle.Username"
"736205","997","TestCalibrationHit","Tue Oct 11 14:52:18 UTC 2022","1","86400","30819","52","Tue Oct 11 14:57:18 UTC 2022","Tue Oct 11 14:57:42 UTC 2022","24"," I 've put that on your calendar . Your status is set to Busy . ","Cancel my meeting with Rohila right now.","1","What is my name?","3","Cancel my meeting with Rohila that is supposed to start now.","0","Cancel my meeting with Rohila","2"," let 's make it for 1 pm "," Cancel the meeting now with Rohila . ","","","3","esteng"
"736206","997","TestCalibrationHit","Tue Oct 11 14:52:18 UTC 2022","1","86400","30820","52","Tue Oct 11 14:57:42 UTC 2022","Tue Oct 11 14:57:58 UTC 2022","16"," Does one of these work ? ","The first one is good.","1","The second one please.","2","Search for more me","3","The second one is fine.","0"," Ya could you put Practice time between Turn computer on and Play CSGO . "," The second one is at the same time as Spend $ 250 on CSGO cases . I 'll go with the first one . ","","","1","esteng"
"736207","997","TestCalibrationHit","Tue Oct 11 14:52:18 UTC 2022","1","86400","30821","52","Tue Oct 11 14:57:58 UTC 2022","Tue Oct 11 14:58:14 UTC 2022","16"," Here 's what I found : ","Add an event to my calendar","0","add something to my calendar","1","Can you update that?","2","I have a Dinner Date ending at 10 pm on Saturday at Chez Very Expensive Food Food.","3"," what is currently on my schedule "," can i schedule something ","","","1","esteng"
"736208","997","TestCalibrationHit","Tue Oct 11 14:52:18 UTC 2022","1","86400","30822","52","Tue Oct 11 14:58:14 UTC 2022","Tue Oct 11 14:58:28 UTC 2022","14"," I can help you create , update , and delete events on your calendar . You can also ask me about your schedule . ","Schedule a meeting with Lisa on 4/27/2019 at 12:00 pm","3","Do I have anything between 4 and 7 pm tomorrow?","1","Do I have anything between 4 and 7 pm tomorrow?","0","Do I have anything at 7 pm tomorrow?","2"," hi "," Do I have anything betwee 4 and 7 tomorrow ? ","","","2","esteng"
"736209","997","TestCalibrationHit","Tue Oct 11 14:52:18 UTC 2022","1","86400","30823","52","Tue Oct 11 14:58:28 UTC 2022","Tue Oct 11 14:58:54 UTC 2022","26","","Sorry, what did you just say?","0","Search for more me","2","What events do I have scheduled?","1","What else do I have there?","3",""," Nope , show me more responses . ","","","4","esteng"
"736210","997","TestCalibrationHit","Tue Oct 11 14:52:18 UTC 2022","1","86400","30824","52","Tue Oct 11 14:58:54 UTC 2022","Tue Oct 11 14:59:20 UTC 2022","26","","put meeting with rohila tomorrow","1","put meeting with rohila","2","put meeting with rohila today","0","Is John or Marty invited to my 4pm?","3",""," put meeting with rohila on monady ","","put meeting with Rohila on Monday","","esteng"
"736211","997","TestCalibrationHit","Tue Oct 11 14:52:18 UTC 2022","1","86400","30825","52","Tue Oct 11 14:59:20 UTC 2022","Tue Oct 11 14:59:37 UTC 2022","17"," I have accepted it . ","Please accept my date for tomorrow night and say lets split the bill","2","Please accept my date tonight and say lets split the bill","1","Oh I meant Saturday","3","Please accept my date request for tonight and say lets split the bill","0"," thanks is ok "," Awesome ! Also please accept the date request for tonight and say lets split the bill ","","","2","esteng"
"736212","997","TestCalibrationHit","Tue Oct 11 14:52:18 UTC 2022","1","86400","30826","52","Tue Oct 11 14:59:38 UTC 2022","Tue Oct 11 14:59:49 UTC 2022","11"," Does one of these work ? ","Please accept my date for tomorrow night and say lets split the bill","3","The top one please","1","the first one","0","The earlier one please","2"," Tomorrow morning is new tooothbrush time "," The upper one ","","","3","esteng"
"736213","997","TestCalibrationHit","Tue Oct 11 14:52:18 UTC 2022","1","86400","30827","52","Tue Oct 11 14:59:49 UTC 2022","Tue Oct 11 15:00:16 UTC 2022","27"," Is this the update you want ? ","Do I have a breakfast meeting with his skip this morning?","3","Make an event for tuesday at","2","Make me a new meeting next Friday at 10 pm","0","Make an event for Friday at 12pm","1"," Make the event go until 8 pm . "," Can you make an event for Friday t3 pm ","","Make an event for Friday at 3pm","3","esteng"
"736214","997","TestCalibrationHit","Tue Oct 11 14:52:18 UTC 2022","1","86400","30828","52","Tue Oct 11 15:00:16 UTC 2022","Tue Oct 11 15:00:31 UTC 2022","15"," Is this good ? ","4 am is perfect","0","i want make an appointment with doctor","3","no make it at 4 am","2","yes","1"," create meeting on monday at 4 "," 4 am ","","","3","esteng"
"736215","997","TestCalibrationHit","Tue Oct 11 14:52:18 UTC 2022","1","86400","30829","52","Tue Oct 11 15:00:31 UTC 2022","Tue Oct 11 15:00:44 UTC 2022","13"," Here are some times when you and Frank are free . ","Make an event for the 12th","1","When am I free on the 12th?","2","What events do I have on the 12th?","0","What are the rates for hotel rooms within town?","3"," lets redo this request please "," What times are available on the 12 th ? ","","","2","esteng"
"736216","997","TestCalibrationHit","Tue Oct 11 14:52:18 UTC 2022","1","86400","30830","52","Tue Oct 11 15:00:44 UTC 2022","Tue Oct 11 15:01:12 UTC 2022","28"," Let me know if there 's anything else I can help you with . ","make the appointment at 10.00 am - 10.30 am","0","please change the meeting 10.00 am - 10.30 am","2","please change the meeting 10.00 am - 10.30 am","1","Schedule a part planning event with Doc, Stuffy, Sponge, and Gary","3"," Iam a teacher "," 10 : 00 AM - 10 : 30 AM -07 : 00 ","","unclear","","esteng"
"736217","997","TestCalibrationHit","Tue Oct 11 14:52:18 UTC 2022","1","86400","30831","52","Tue Oct 11 15:01:12 UTC 2022","Tue Oct 11 15:01:29 UTC 2022","17"," Could you be more specific with your request ? ","What do I have on Saturday?","1","What do I have on Wednesday?","0","What do I have scheduled on that day?","2","Change my Football game to be in the PM","3"," can you update my Monday meeting "," what do I have on my calendar for Moday ","","What do I have on Monday?","","esteng"
"736218","997","TestCalibrationHit","Tue Oct 11 14:52:18 UTC 2022","1","86400","30832","52","Tue Oct 11 15:01:29 UTC 2022","Tue Oct 11 15:01:47 UTC 2022","18","","Thanks, do I have anything else scheduled on Sunday?","3","What events do I have scheduled?","2","Show me any other team meeting.","1","What do I have besides the team meeting?","0",""," What else than the team meeting is on my calendar ? ","","","4","esteng"
"736219","997","TestCalibrationHit","Tue Oct 11 14:52:18 UTC 2022","1","86400","30833","52","Tue Oct 11 15:01:47 UTC 2022","Tue Oct 11 15:02:07 UTC 2022","20"," The event matching "" lunch "" on Friday is located in The Ruby Slipper Cafe on Canal Street . ","I need a room","0","Does it have outdoor seating?","2","What about next week?","3","Great. I'll need a room for that.","1"," Where is my lunch on the 3 rd ? "," Can we get space to sit outside ? ","","","2","esteng"
"736220","997","TestCalibrationHit","Tue Oct 11 14:52:18 UTC 2022","1","86400","30834","52","Tue Oct 11 15:02:07 UTC 2022","Tue Oct 11 15:02:22 UTC 2022","15"," I did n't find any events named "" lunch meeting "" with Lisa on May 3 rd at 12 : 00 PM . ","find my coffee safety event","3","Schedule a meeting with Lisa on 4/27/2019 at 12:00 pm","0","Schedule a meeting with Lisa on 4/27/2019 at 12:00 pm","2","Enter a meeting with Lisa on 27/27/2019 at 12:00 pm","1"," Hello I would like to to cancel my Friday lunch meeting with Lisa at 12 : 00 pm "," Set a meeting with Lisa at 12 : 00 pm 04 / 27 / 2019 ","","","2","esteng"
"736221","997","TestCalibrationHit","Tue Oct 11 14:52:18 UTC 2022","1","86400","30835","52","Tue Oct 11 15:02:22 UTC 2022","Tue Oct 11 15:02:35 UTC 2022","13","","Do I have a party tomorrow night?","1","Thanks, do I have anything else scheduled on Sunday?","3","Make an event for my party tomorrow night","0","Do I have my party tomorrow night?","2",""," Tomorrow night is my party , right ? ","","","4","esteng"
"736222","997","TestCalibrationHit","Tue Oct 11 14:52:18 UTC 2022","1","86400","30836","52","Tue Oct 11 15:02:35 UTC 2022","Tue Oct 11 15:03:00 UTC 2022","25","","I also have a meeting with Nathaniel and Mark the Monday after at 12:15 pm at Olive Garden.","3","Please change my shift from morning to late afternoon","0","I need to shift my shift to later in the afternoon.","1","I need to shift my shift from this morning to late afternoon.","2",""," can i shift my shift from morning to late afternoon please ? ","","","2","esteng"
"736223","997","TestCalibrationHit","Tue Oct 11 14:52:18 UTC 2022","1","86400","30837","52","Tue Oct 11 15:03:00 UTC 2022","Tue Oct 11 15:03:40 UTC 2022","40"," I 've put that on your calendar . ","Please add Seafair to Jake with Jake and his boss.","0","I'm going to Seafair with my boss","1","I'm going to Seafair with my boss right now.","2","i want make an appointment with doctor","3"," I want the 1 st one please . "," I 'm going to Seafair with Jake and his boss ","","Please add going to Seafair with Jake and his boss","","esteng"
"736224","997","TestCalibrationHit","Tue Oct 11 14:52:18 UTC 2022","1","86400","30838","52","Tue Oct 11 15:03:41 UTC 2022","Tue Oct 11 15:04:14 UTC 2022","33"," Is this what you 're looking for ? ","What do I have on Wednesday?","3","Yes. I also have a meeting with Nathaniel and Mark the following Monday at 12:15 pm at Olive Garden.","0","Yes. I also have a meeting with Nathaniel and Mark at Olive Garden on Monday at 12:15 pm.","1","I also have a meeting with Nathaniel and Mark the Monday after at 12:15 pm at Olive Garden.","2"," lunch on march 15 th at 8 . "," Okay , great , can you also mark down a meeting for the following Monday at 12 : 15 at the Olive Garden with Nathaniel and Mark ? ","","","2","esteng"
