user_turn_0,agent_turn_0,user_turn_1,option_list,option_idx_list
,," Please invite Kevin and Steve to tomorrow 's 3 : 30 meeting , and remove John , Kayla and Thomas ","[""Kevin will be replacing Steve, John, Kayla, and Thomas."", ""Add Kevin, Steve, John and remove Kayla and Thomas."", ""Add Kevin to the meeting and remove Kayla and Thomas."", ""Add Kevin and John to the event and remove Kayla and Thomas."", ""Add Kevin to the event and remove Kayla and Thomas."", ""Add Kevin to the meeting and remove Steve, Kayla and Thomas."", ""Remove John, Kayla, and Thomas from the 3:30 meeting tomorrow."", ""Kevin will be replacing Steve and John with Kayla and Thomas.""]","[0, 1, 2, 3, 4, 6, 7, 8]"
 Please change this to In N Out Burger and make it around 5 pm , Does one of these work ? , yes . now make me a track meet event around 3 pm ,"[""Looks good. Now make my track meet start around 3 pm"", ""Yes. I also have a track meet that I want to attend around 3 pm"", ""Looks good. I also have a track meet at around 3 pm"", ""Yes. I also have a track meet that day at around 3 pm"", ""Looks good. I also have a track meet today around 3 pm"", ""Looks good. I also have a track meet that day around 3 pm""]","[0, 1, 2, 4, 7, 8]"
 first one is good , I 've put that on your calendar . , I will need another appointment on Friday for lunch sometime before 2 ,"[""I need a lunch before 2 pm Friday"", ""I need a meeting before 2 pm Friday"", ""I need to have a lunch before 2 pm Friday"", ""I need a lunch after 2 pm Friday"", ""Can you schedule lunch between 2 and 2:30 pm on Friday?"", ""Can you schedule lunch for Friday after that around 2 pm?""]","[0, 3, 4, 6, 7, 8]"
,, Cancel the meeting I had scheduled for this Thursday and switch it to Friday afternoon . ,"[""I need to cancel all my meetings for tomorrow."", ""Can you move my Thursday meeting to Friday afternoon?"", ""Can you change my meeting on Thursday to be in the afternoon?"", ""Can you move my meeting from Thursday to Friday afternoon?"", ""Change my meeting from Thursday to Friday afternoon."", ""Move my meeting from last Thursday to this Friday afternoon."", ""Move my meeting on Thursday to the same time."", ""Move my appointment on Thursday to the same time."", ""Change my appointment on Thursday to next Thursday at the same time.""]","[0, 1, 2, 3, 4, 5, 7, 8, 9]"
 What is my next all day event ," The next all - day event is "" Meeting with Damon Straeter , Abby Gonano , Dan Marton , and Jesse Rosenfeld "" tomorrow . ", Can you extend that to Saturday ? ,"[""Can you change that to end on Saturday?"", ""Can you make that an all day event lasting from tomorrow until Saturday?"", ""Can you extend that to the following Saturday?"", ""Can you make that an all day event from tomorrow until Saturday?"", ""Please make that event last from tomorrow until Saturday."", ""Can you change that to last from tomorrow until Saturday?"", ""Make it from today until Saturday.""]","[0, 2, 3, 4, 5, 6, 7]"
 Can you delete the events on Monday and Tuesday ? ," I can only do one action at a time . If you separate your requests , I can help you . ", Create event for Monday and Tuesday called Vacation . ,"[""Delete all events on Monday and Tuesday."", ""What events do I have on Monday and Tuesday?"", ""How do I delete an event?"", ""I would like to create a recurring event on my calendar."", ""please update my events in my calender"", ""Mark Monday through Tuesday as Vacation."", ""Schedule a Vacation on Monday and Tuesday."", ""Schedule a Vacation from this Monday to next Tuesday."", ""Schedule a Vacation from Monday to Tuesday.""]","[0, 1, 2, 3, 4, 5, 7, 8, 9]"
 Yes please . Then recreate it for the week after ," I 've deleted your next event . Sorry , I ca n't handle that yet . ", ok make sure to delete the meeting with martin afterword ,"[""cancel the meeting with martin"", ""Cancel meeting with martin"", ""delete the afterword with martin"", ""cancel meeting with martin"", ""cancel the meeting with martin after this"", ""Delete my meeting with martin at this time"", ""Delete my meeting with martin after that"", ""Delete my meeting with martin after this"", ""cancel the meeting after martin""]","[0, 1, 2, 3, 5, 6, 7, 8, 9]"
 I need to move today 's staff meeting to Thursday afternoon . , Does one of these work ? , The later one works . ,"[""Show me different times."", ""Show some different timing."", ""The later one."", ""No, I need it to be later in the afternoon."", ""yes"", ""I'll take the later one."", ""The bottom one please"", ""The earlier one please"", ""The first one please."", ""I like the later time.""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
 schedule lunch with all departmental heads , I can only look up names in your address book . Please use a full name and try again . , Can you find Mike in my book ? ,"[""Look up Mike in my address book""]",[0]
,, Cancel my meeting for this afternoon with bob . ,"[""Cancel my meeting with bob this afternoon"", ""Cancel my meeting this afternoon with bob."", ""Cancel the meeting with bob"", ""Cancel the meeting with bob today"", ""Cancel my afternoon meeting with bob."", ""Cancel my meeting today at noon with bob.""]","[0, 1, 3, 4, 5, 9]"
 Do I have anything scheduled today ? ," No , I did n't find any events for the rest of today . ", Add a one hour meeting with Amy to my schedule at 3 PM today . ,"[""Add a one hour meeting with Amy to my schedule today at 3 PM.""]",[0]
 Good have that I have a meeting at 11 that day . , Is this good ? , Yes but reschedule it for the following Monday instead . ,"[""Reschedule that meeting to the following Monday."", ""Reschedule the meeting to the following Monday."", ""Reschedule that please"", ""Can you change it to next Monday instead?"", ""No, it should be on Monday."", ""Reschedule it for the following Monday."", ""No, move it to the following Monday."", ""No, it should be on Monday of that week."", ""Can you move it to the next day?""]","[0, 1, 2, 3, 4, 6, 7, 8, 9]"
 The first one works , I 've put that on your calendar . , list all events ,"[""How do I add an event to my calendar?"", ""what's on my calendar?"", ""The second one, but make it an hour."", ""How many times have I met with Clinton this week?"", ""events"", ""List my events please"", ""Search for \""Meeting\"""", ""Show me all events labeled \""all\"""", ""What is on my calendar for today?"", ""What did I have earlier today?""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
,, Create meeting in room 23 on monday at 12 ,"[""create meeting in room 23 on monday at 12"", ""create meeting on monday at 12 in room 23"", ""Book conference room 23 for Monday at 12pm."", ""create meeting in room on monday at 12"", ""Make a meeting called Team on Monday at 12:00 pm in room 23."", ""Create an event called \""Meeting\"" on Monday at 12:00 pm in room 23."", ""I need to book a room on Monday at 12:00 pm for room 23"", ""create meeting on room in room 23 on monday at 12"", ""create meeting in 23 on monday at 12"", ""create meeting in on monday at 12 in room 23""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
 Can you give me an earlier option ? , Does one of these work ? , Please do the second work ,"[""The 2nd one works."", ""The later one works best."", ""fix the second one"", ""I am not sure yet."", ""ok"", ""The 1st one works."", ""The first option."", ""What is the second option?""]","[0, 1, 2, 4, 5, 7, 8, 9]"
 Put tom as one of the attendees . , Does this look right ? , yes please make the end time 6 pm ,"[""Change the end time to 6:00 PM."", ""Remove Damon from the meeting."", ""Remove Tom from the event and replace him with John."", ""Can you change the name of the event?"", ""Yes, but change the end time to 6:00 PM."", ""The dinner will end at 6:00 PM."", ""Can you extend this to 6PM please"", ""Change the end time to 3:00 PM."", ""Change the end time to 1:00 PM.""]","[0, 1, 2, 3, 4, 5, 6, 7, 8]"
 what is currently on my schedule , Here 's what I found : , can i schedule something ,"[""please update my calender"", ""what can you help me with"", ""what is my chat id"", ""ok"", ""what is currently on my calendar?"", ""hi"", ""Add an event to my calendar"", ""add something to my calendar"", ""Can you update that?""]","[0, 1, 2, 3, 4, 5, 6, 7, 8]"
 i payed well , Let me know if there 's anything else I can help you with . ," ok fine , what about the rest of the day ? ","[""what about the rest of the day?"", ""today's calender"", ""What events do I have that day?"", ""What else do I have that day?"", ""Do I have anything later today?"", ""any other event on my calander today"", ""what is my next event on my calander""]","[0, 1, 2, 3, 4, 5, 6]"
 I do nt have anything else there right ? , I did n't find any other events . , Where is my Climbing session 1 again ? ,"[""Where is my Climbing session 1?"", ""Where is my Climbing session?"", ""Where is my Climbing session __User"", ""Where is the Climbing session again?"", ""Where is my Climbing session at 1 pm?"", ""Where is the Climbing session 1 at that month?""]","[0, 1, 2, 5, 8, 9]"
 who has not Declined to Team Lunch ," Here is the list of attendees who have not declined "" Team lunch "" : you and Kim Possible . ", So then who has not Accepted that ? ,"[""Who has not accepted that?""]",[0]
 Set a dinner date for 5 th of April , Does one of these work ? ," No , at 7 PM ","[""can you arrange with 7:00 PM""]",[0]
 change the meeting with ben time at 10 . 00 am , How is this ? , I need to call Ben to inform him of the change . Do you have his number ? ,"[""Prepare presentation materials"", ""email Ben that the meeting is set"", ""Defer the meeting with lee Chan""]","[0, 1, 2]"
 Do I have meeting with John tomorrow ? ," Yes , I found one event tomorrow . It 's "" Meeting with John and Damon Straeter "" from 2 : 00 to 2 : 30 PM . ", how about with Erin ? ,"[""What about with Erin?""]",[0]
,, Schedule Spring Festival for April . ,"[""Spring Festival is in April""]",[0]
,, What time is the soccer game ? ,"[""when is my soccer game?""]",[0]
,, put meeting with joe last aug 24 ,"[""put the meeting with joe on aug 24"", ""put meeting with joe at aug 24"", ""put meeting with joe at aug 24 2019"", ""put the meeting with joe on the 24th"", ""put meeting with joe at aug 24 last year"", ""put the meeting with joe at aug 24 17""]","[0, 1, 2, 3, 6, 8]"
,," I keep forgetting things , so show my day ","[""What is on my calendar for today?"", ""What events do I have scheduled?"", ""Can you tell me the weather for tomorrow in Greenville, NC?"", ""What is today's date?"", ""What do I have later today?"", ""What day is it?"", ""can you explained the meeting"", ""What's going on right now?"", ""What did I have earlier today?""]","[0, 1, 2, 3, 4, 6, 7, 8, 9]"
 schedule a meeting with amma at 6 pm , Is this good ? , actually it should be in 1 hour from now ,"[""postpone the meeting to one hour from now"", ""can you change the meeting time"", ""Make it start right now"", ""Make it an hour from now"", ""Push it to an hour from now."", ""Push it back by 1 1 in."", ""I meant the meeting in 1 hour."", ""1 from 1 is better."", ""Can you make it an hour later?"", ""wait i am not sure if it is ok or not""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
 yes . Now I would like to decline the afterparty and say that I 'm still at work ," I have declined it . I will decline "" Afterparty "" and send a response to the organizer with the following comment : "" I 'm still at work "" . Is that ok ? "," Ok Perfect , then could you decline the RoundUp for next week . ","[""Yes, that's good. Decline my RoundUp for next week."", ""Decline the RoundUp next week"", ""can you decline the RoundUp"", ""Yes, that's good. Decline my RoundUp and say that I'm sick."", ""Yes, that's good. Decline my RoundUp for next week"", ""Yes, that's good. Decline RoundUp day next week"", ""Yes, that's good. Decline RoundUp next week as well."", ""Yes, that's good. Decline RoundUp next week"", ""Yes, thank you. Decline my RoundUp for next week and say that I will be out of town.""]","[0, 1, 2, 3, 5, 6, 7, 8, 9]"
 ok delete all events one by one ," I can only do one action at a time . If you separate your requests , I can help you . ", WHEN YOU ARRANGE WITH EVENT ,"[""When is my appointment?"", ""I need help with my calendar"", ""Why is that?"", ""what events do I have coming up"", ""when is my next meeting?"", ""I need to make an appointment"", ""What is my next scheduled event?"", ""What is the meeting about?"", ""When is the meeting?"", ""WHEN IS MY ARRANGE""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
,, I need to reschedule my Tuesday lunch . ,"[""I need to change the date of my doctor's appointment"", ""I need help with my calendar"", ""Can you tell me the weather for tomorrow in Greenville, NC?"", ""I need to reschedule my lunch on Tuesday."", ""Can you reschedule my Tuesday lunch?"", ""Can you reschedule my lunch on Tuesday?"", ""Please reschedule my lunch"", ""Can you reschedule my appointment on Tuesday?"", ""Can you reschedule my Tuesday Lunch?""]","[0, 1, 2, 3, 4, 5, 6, 7, 8]"
 None , Let me know if there 's anything else I can help you with . , Book a meeting for 10 years from right now with Barack Obama ,"[""I need to meet with Barack Obama 10 years from now"", ""Meeting with Barack Obama in 10 years"", ""Set up a meeting with Barack Obama in 10 years"", ""Set up a meeting with Barack Obama next year"", ""Schedule a meeting with Barack Obama 10 days from now"", ""Please schedule a meeting with Barack Obama 10 years from now"", ""i need an event in 10 10 with Barack Obama"", ""i need an event with Barack Obama this year"", ""Schedule a meeting with Barack Obama 10 months from now""]","[0, 1, 2, 3, 4, 5, 6, 8, 9]"
 YEH LIKE GOOD , Let me know if there 's anything else I can help you with . , Make it last to 11 : 00 AM actually . Thank you . ,"[""defer the next meeting with Angelo Louis"", ""update my calender events"", ""have this ending at 11"", ""Can you extend this to 11AM please"", ""Change the time to 11am"", ""Can you change the time to 11am""]","[0, 1, 2, 3, 5, 6]"
 Add Fran to my 2 : 30 meeting today , I did n't find any events at 2 : 30 PM . , Remove my 2 : 30 meeting today ,"[""cancel my 2 : 30 meeting today""]",[0]
 who has nt accepted the happy hour ," Here is the list of attendees who have not accepted "" happy hour "" : you and Kim Possible . Unfortunately , Kim Possible declined . ", Who has not declined the happy hour then ? ,"[""Who has not declined the happy hour?""]",[0]
 put meeting with johnny on calender , Does one of these work ? , fix the second one on calender ,"[""The 2nd one works great"", ""fix the second one"", ""put meeting with johnny"", ""THE LOOK IS GOOD"", ""i need prefernces"", ""The second one, but make it an hour."", ""OK THANK YOU"", ""fix the first one"", ""The 2nd one works well""]","[0, 1, 2, 3, 4, 5, 7, 8, 9]"
 Who are Jake 's reports , Jake Cobb has no direct reports . , Who does he report to ? ,"[""Who does he repot to?"", ""who does he report to?"", ""Who does Jake report to?"", ""Who do I report to?"", ""Who are his reports"", ""Who does he report to?"", ""Who does he supervise?"", ""Who is his direct reports""]","[0, 1, 2, 3, 5, 6, 8, 9]"
" please , cancel the all appointments on April 19 "," I can only do one action at a time . If you separate your requests , I can help you . ", I m going fishing on Saturday ,"[""Add fishing on saturday"", ""I'm going fishing this Saturday."", ""Add fishing to my calendar on Saturday"", ""Add an all day event for fishing on saturday"", ""add fishing fishing on saturday"", ""I went fishing last Saturday"", ""I'm going fishing __User __User on Saturday""]","[0, 1, 2, 3, 4, 5, 8]"
 Add training to the 10 th from 4 : 00 pm until 6 : 00 pm . , Is this good ? , how about next month ? ,"[""Actually make it next month."", ""Have training last all day the next day."", ""I meant training next month."", ""What do I have next month?"", ""Actually change it to next month."", ""Actually move it to next month."", ""postpone training to the next month""]","[0, 1, 2, 3, 6, 7, 9]"
 What will be the weather tomorrow ," It will be clear with a high of 0 . 00 ° F and a low of 0 . 00 ° F on Sun , October 28 . ", How much rain will we get today ? ,"[""How much rain will we get today?"", ""Will it rain today?"", ""How many inches?"", ""How much will it rain?"", ""What is the chance of rain today?"", ""What is the highest chance of rain today?"", ""What is the average chance of rain today?""]","[0, 1, 2, 3, 4, 6, 8]"
 Do I see Amy today ? ," Yes , I found 1 event with Amy Miller today . It 's "" Date Night "" from 7 : 00 to 9 : 00 PM . ", Can you change the time to 8 ? ,"[""Change the time to 8pm"", ""can you change the meeting time"", ""Change the time to 8am"", ""Can you change that to be around 8 pm?"", ""Can you change that to be around 8 am?"", ""Can you change the time to 8pm?""]","[0, 1, 2, 3, 4, 9]"
 it should actually be on Wednesday , Yes . Here are some times when Joe and you are free on Wednesday the 18 th . , Am i free next month ,"[""Am I free next month?"", ""When am I free next month?"", ""Do I have anything next month?"", ""When am I free?""]","[0, 1, 4, 6]"
,, Please schedule a reminder for my 5 pm conference call tomorrow afternoon ,"[""Remind me of the first flight to london"", ""Who reports to me?"", ""How old are you?"", ""Can you tell me the weather for tomorrow in Greenville, NC?"", ""no thanks"", ""Please schedule a meeting with the pope tomorrow."", ""I have a conference call tomorrow at 5 pm"", ""I have a conference call tomorrow afternoon."", ""I have a conference call at 5 pm"", ""I have a conference call ending at 5 pm tomorrow.""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
" Do I have any availability this weekend , particularly on Saturday morning ? "," No , I did n't find any events on Saturday in the morning . ", What about Next Saturday ? ,"[""What about next Saturday?"", ""What do I have on Saturday?"", ""What about the following Saturday?"", ""What about Saturday morning?"", ""Do I have any free time on Saturday?"", ""what about saturday?"", ""What about Saturday?"", ""What about Saturday night?""]","[0, 1, 2, 3, 4, 5, 7, 9]"
 Do I meet with Tasha next week ? ," Yes , I found one event with Tasha next week . It 's "" Lunch near Lake T "" on Wednesday the 30 th from 12 : 30 to 1 : 30 PM . ", Is there a play later this week ? ,"[""Do I have a play later this week?"", ""Do I have a meeting with Tasha next week at all?"", ""Do I have a play later next week?"", ""Do I have a play this week?"", ""What about the play later this week?"", ""Do I have a play later in the afternoon?"", ""Do I have a play later in the week?"", ""Am I going to play a play later this week?""]","[0, 1, 2, 3, 5, 6, 8, 9]"
" Yes , perfect ", I 've put that on your calendar . , When is my OBGYN appointment ? ,"[""when is my OBGYN appointment?"", ""Can you search for an OBGYN appointment?"", ""Can you find my OBGYN appointment?"", ""Can you show me my appointment with the OBGYN?"", ""when is my OBGYN Meeting?"", ""What time is my OBGYN appointment?""]","[0, 2, 3, 4, 7, 8]"
 i need you to decline the event with Josh ," I will decline "" Meeting with Josh and Damon Straeter "" . Is that ok ? ", Yes also decline my AC / CD Reunion and say i am going to see Journey instead ,"[""Yes, that's good. Decline my AC / CD Reunion and say that I am going to see Journey instead."", ""Decline my AC / CD Reunion and say that i am going to see Journey instead"", ""Decline my AC / CD Reunion and say that i am going to see Journey"", ""Yes, that's good. Decline my AC / CD Reunion and say that I am going to see Journey."", ""Yes, that's good. Decline my AC / CD Reunion and say that i am going to see Journey Reunion instead."", ""Yes, that's good. Decline my AC / CD and say that i am going to see Journey instead."", ""Yes, that's good. Decline my AC / CD Reunion and say that i am going to see Journey Journey instead."", ""Yes, that's good. Decline my AC / CD Reunion and say that \""It am going to see Journey instead\""""]","[0, 1, 2, 3, 4, 5, 8, 9]"
 On second thought I 'm going to need it scheduled a little bit earlier . , Does one of these work ? , No later in the morning ,"[""No, I need something later in the morning."", ""I like the earlier one."", ""fix the second one"", ""No, none of those work."", ""What about late morning?"", ""No, I need something in the morning."", ""No, I need something later in the afternoon."", ""Can we make it a little earlier in the morning?""]","[0, 1, 2, 3, 5, 6, 7, 9]"
 That 's good . , I 've put that on your calendar . , What date is Easter Sunday this year ? ,"[""When is Easter this year?"", ""When is Easter Monday this year?"", ""When is Easter Monday?"", ""When is Easter?"", ""When is Flag Day this year?"", ""When is New Years Eve this year?"", ""when is chrismas"", ""When is Thanksgiving this year?"", ""What day of the week is Easter this year?""]","[0, 1, 2, 3, 4, 5, 6, 7, 9]"
,, Can you tell me where and when my appointment with Batman will be ? ,"[""I need to cancel all my meetings for tomorrow."", ""Can you tell me when my doctors appointment is and what time it is?"", ""When is my appointment with Batman?"", ""Can you tell me when my appointment with Batman will be?"", ""Can you tell me any upcoming events I have with Batman?"", ""Can you tell me where my appointment with Batman will be?"", ""Can you tell me where and when my appointment with Batman will be?"", ""Can you tell me the location of my appointment with Batman?"", ""Can you tell me where my appointment with Batman is?""]","[0, 1, 2, 3, 4, 5, 6, 7, 9]"
 Please cancel both Thursday meetings with John . ," I can only do one action at a time . If you separate your requests , I can help you . ", Can you send Mike an invitation ? ,"[""email Cecelia Waller that the meeting is set"", ""Can you forward this to Mike?"", ""Why is that?"", ""Please schedule a meeting with the pope tomorrow."", ""Please add Mike to this meeting."", ""Please call Mike for me."", ""Can you schedule a meeting with Mike?"", ""Can you forward my meeting to Mike?"", ""Can you forward this to Mike and Mike""]","[0, 1, 2, 3, 4, 5, 7, 8, 9]"
,, Can you make a meeting for john in 2 hours with me at sprint ? ,"[""make a meet with john at sprint in 2 hours"", ""Set up a meeting at sprint in 2 hours"", ""make a meeting with john in 2 hours"", ""make an appointment with john at McDonalds in 2 hours"", ""meeting with john at sprint in 2 hours"", ""Schedule a meeting with john at Starbucks in 2 hours."", ""make a meet with john at sprint in an hour"", ""Schedule a meeting with john at the Clubhouse in 2 hours.""]","[0, 1, 2, 3, 4, 5, 6, 7]"
,, Learn spanish in the Winter ,"[""Learn spanish in winter"", ""How old are you?"", ""How many months have 30 days?"", ""Why didn't Mom come to my birthday party?"", ""What causes hail?"", ""Can you tell me when my next block of free time is?"", ""Who reports to me?"", ""create an event in winter for spanish spanish"", ""Add Learn spanish this winter"", ""Learn spanish in spanish this winter.""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
 Extend it by 30 min , How about now ? , it ends at 8 AM ,"[""Extend the end time by 15 minutes."", ""Extend it to 8AM please"", ""Can you extend it by 30 min?"", ""That looks good."", ""Extend it to 8PM"", ""Extend appointment until 8:00 AM.""]","[0, 1, 2, 3, 8, 9]"
 Am I free late morning Monday ? , Yes . Here are some times when you are free on Monday the 16 th . , What about on Friday ? ,"[""What about Friday?"", ""What about next Friday?"", ""What do I have on Friday?"", ""Do I have anything on Friday?"", ""What about the Friday after that?""]","[0, 1, 2, 5, 7]"
 i need to who know my friend , I can only look up names in your address book . Please use a full name and try again . , Can you tell me if I have a manager ? ,"[""i need john's home address"", ""Who is my boss?"", ""i need to know when my manager is free"", ""Is my boss the organizer of that event?"", ""Do I have a meeting with my boss soon?"", ""Can you find my meeting with my boss?"", ""Who is on my team"", ""when is my boss free?""]","[0, 1, 2, 4, 5, 6, 7, 8]"
" Okay , yes then , please set my gym appointment for Thursday at 1 pm . ", Is this good ? , Correct ,"[""Yes it does.""]",[0]
 That is great . , I 've put that on your calendar . , I will be attending a work conference in Florida for 4 days starting on November 15 th . ,"[""I have a work conference in Florida starting on November 15th and lasting 4 days."", ""Mark that I will be in Florida for 4 days starting November 15th."", ""Mark that I'll be in Florida for a work conference from November 15th for 4 days."", ""I will be with her for 4 days starting November 15th."", ""Mark that I'll be in Florida on a work conference from November 15th for four days."", ""Mark that I will be with her for 4 days starting November 15th.""]","[0, 2, 4, 5, 6, 8]"
 Thanks . Now can you put an early dinner event at 16 h for the same day ? , Is this what you 're looking for ? , Yessir . ,"[""Yes, this looks good.""]",[0]
 what are the wind speeds , It 's 5 . 71 mph . , when is sunset ,"[""when is sunset today?"", ""when is sunset?"", ""What time does it start?"", ""what time is sunset?"", ""what time is sunrise today?"", ""what time will the sun set?"", ""What is the traffic like?""]","[0, 1, 2, 3, 6, 7, 8]"
 I need to invite Abby to that , How is this ? , it also needs to be all day ,"[""Make it last all day.""]",[0]
 Anything else on that day ? ," I found one other event on your calendar . It 's "" Coffee House "" on December 1 st from 10 : 00 to 10 : 30 AM . ", What about the next day ? ,"[""What about the next day?"", ""Anything the next day?"", ""What do I have the day after that?"", ""What do I have the next day?"", ""What about the day after?""]","[0, 1, 2, 3, 9]"
 When did you say it starts ? , It starts March 1 st at 2 : 00 PM . , And when will it end ? ,"[""And when does it end?""]",[0]
 good deal , Let me know if there 's anything else I can help you with . , I need to find when I last met with bob . ,"[""When was my last meeting with bob?"", ""When was the last time I saw bob?"", ""Can you find the last time I met with bob?"", ""When is my last meeting with bob today?"", ""When was my meeting with bob?"", ""When is my last meeting with bob that day?""]","[0, 2, 3, 6, 7, 8]"
 What do I have next Tuesday afternoon ? ," I found one event . It 's a "" Gym Session "" . ", Awesome . Is there a meeting between 4 and 5 pm that day ? ,"[""Do I have anything between 4 and 5 pm?"", ""Do I have anything between 4 and 5 pm that day?"", ""Anything between 4 and 5 pm that day?"", ""Is there anything between 4 and 5 pm that day?""]","[0, 1, 2, 5]"
,, Change the location of the Family Road Trip from Phoenix to Chicago . ,"[""Change the location of \""Family Road Trip\"" from Phoenix to Chicago"", ""Change the location of \""Family Road Trip\"" in Chicago."", ""Change the location of \""Family Road Trip\"" to Chicago"", ""Change the location of \""Family Road Trip\"" from Phoenix to Chicago Family"", ""Change the location of \""Family Road Trip\"" from Phoenix to Chicago."", ""Change the location of \""Family Road Trip\"" from Phoenix to Chicago's"", ""Change \""Family Road\"" from Phoenix to Chicago"", ""Change the location of \""Family Road Trip\"" from Phoenix to Chicago Phoenix"", ""Change the location of \""Family Road Trip\"" from Phoenix to Chicago Road""]","[0, 1, 2, 3, 4, 5, 6, 7, 9]"
