</s><s> | When is my next lunch?</s><pad><pad><pad><pad><pad><pad>
</s><s> | Can you show me the meeting in January with the manager?</s>
</s><s> | Can you find my meeting in January with the manager?</s><pad>
</s><s> | Can you find my event in January with the manager?</s><pad>
</s><s> | Can you find the event in January with the manager?</s><pad>
</s><s> | Can you search for my event in January with the manager?</s>
</s><s> | Can you search for the event in January with the manager?</s>
</s><s> | When is my meeting in January with the manager?</s><pad><pad>
</s><s> | Can you find my event in January with the boss?</s><pad>
</s><s> | Find my event in January with the manager.</s><pad><pad><pad>
</s><s> | Can you change the time to 9am</s><pad>
</s><s> | Change the time to 9am</s><pad><pad><pad>
</s><s> | Can you change the time to 9am?</s>
</s><s> | Can you change the time to 9 am?</s>
</s><s> | Can you change the time to 9 am</s><pad>
</s><s> | Change the time to 9am please</s><pad><pad>
</s><s> | Can you move that to 9 am?</s><pad>
</s><s> | Can you change the time to 9 AM</s><pad>
</s><s> | Could you change the time to 9am?</s>
</s><s> | Could you change the time to 9am</s><pad>
</s><s> | Yes it does.</s><pad><pad><pad><pad><pad>
</s><s> | That looks good.</s><pad><pad><pad><pad><pad>
</s><s> | yes it does</s><pad><pad><pad><pad><pad><pad>
</s><s> | It's look well</s><pad><pad><pad><pad><pad>
</s><s> | That works.</s><pad><pad><pad><pad><pad><pad>
</s><s> | Looks good.</s><pad><pad><pad><pad><pad><pad>
</s><s> | Yes that looks good</s><pad><pad><pad><pad><pad>
</s><s> | Yes</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | yes</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | looks good</s><pad><pad><pad><pad><pad><pad><pad>
