user_turn_0,agent_turn_0,user_turn_1,option_0,option_0_idx,prob_0,option_1,option_1_idx,prob_1,option_2,option_2_idx,prob_2
,, Cancel my meeting for this afternoon with bob .,Cancel my meeting with bob this afternoon,0,0.10483786331174824,Cancel my meeting this afternoon with bob.,1,0.07600985890344795,Cancel my meeting with bob this afternoon,2,5.545298243039294e-05
 Do I have anything scheduled today ? ," No , I did n't find any events for the rest of today . ", Add a one hour meeting with Amy to my schedule at 3 PM today .,Add a one hour meeting with Amy to my schedule today at 3 PM.,0,0.8904049208566049,Schedule a meeting with Amy at 3 pm today.,1,2.8342056066461428e-05,Schedule a meeting with Amy at 3 pm today.,2,2.6723110553535566e-10
 Good have that I have a meeting at 11 that day . , Is this good ? , Yes but reschedule it for the following Monday instead .,Reschedule that meeting to the following Monday.,0,0.5613491690571842,Reschedule the meeting to the following Monday.,1,0.00018744203469237846,Reschedule that please,2,2.5274001186060404e-11
 The first one works , I 've put that on your calendar . , list all events,How do I add an event to my calendar?,0,0.24169811606407166,what's on my calendar?,1,0.4891044277947145,events,2,0.0003121349067289371
,, Create meeting in room 23 on monday at 12,create meeting in room 23 on monday at 12,0,0.5173479347498402,create meeting on monday at 12 in room 23,1,0.004040898181764358,create meeting in room on monday at 12,2,3.5930045199263596e-09
 Can you give me an earlier option ? , Does one of these work ? , Please do the second work,The 2nd one works.,0,0.15979059991750058,The later one works best.,1,0.000885917863342911,The 2nd one works.,2,0.09433262300734474
 Put tom as one of the attendees . , Does this look right ? , yes please make the end time 6 pm,Change the end time to 6:00 PM.,0,0.5067100789211194,Remove Damon from the meeting.,1,0.011227625422179699,"Yes, but change the end time to 6:00 PM.",2,0.0003241124469481285
 what is currently on my schedule , Here 's what I found : , can i schedule something,please update my calender,0,0.41008394956588745,what can you help me with,1,0.2733538746833801,Add an event to my calendar,2,0.057800278315326636
 i payed well , Let me know if there 's anything else I can help you with . ," ok fine , what about the rest of the day ?",what about the rest of the day?,0,0.27598395344335813,What else do I have that day?,1,0.0055238341999908685,any other event on my calander today,2,0.00017574113060841027
 I do nt have anything else there right ? , I did n't find any other events . , Where is my Climbing session 1 again ?,Where is my Climbing session 1?,0,0.3300402383361161,Where is my Climbing session?,1,0.0012482258584582294,Where is my Climbing session?,2,4.317749816931203e-07
 who has not Declined to Team Lunch ," Here is the list of attendees who have not declined "" Team lunch "" : you and Kim Possible . ", So then who has not Accepted that ?,Who has not accepted that?,0,0.9951403991221063,Can you say that again?,1,0.0004316721169743687,Who has not accepted the invite to Team Lunch?,2,0.00031722697895020247
 Set a dinner date for 5 th of April , Does one of these work ? ," No , at 7 PM",can you arrange with 7:00 PM,0,0.872708312435833,"No, I want it to start at 7 pm.",1,6.497492301922649e-07,"No, I want it to start at 7 pm.",2,2.237152423740624e-12
 change the meeting with ben time at 10 . 00 am , How is this ? , I need to call Ben to inform him of the change . Do you have his number ?,Prepare presentation materials,0,0.6242842078208923,email Ben that the meeting is set,1,0.16900643706321716,What is Ben's phone number?,2,1.695669741340357e-05
 Do I have meeting with John tomorrow ? ," Yes , I found one event tomorrow . It 's "" Meeting with John and Damon Straeter "" from 2 : 00 to 2 : 30 PM . ", how about with Erin ?,What about with Erin?,0,0.8863502622330777,What about with Erin?,1,4.489036986348951e-08,What about with Erin?,2,1.2354915199339844e-09
,, Schedule Spring Festival for April .,Spring Festival is in April,0,0.9678065778852929,Can you add Spring Festival to my calendar for April?,1,8.551419967703304e-09,Spring Festival is in April,2,9.505177222217322e-09
,, What time is the soccer game ?,when is my soccer game?,0,0.8765669502302096,When is my soccer game?,1,1.68368604649845e-05,When is my soccer game?,2,1.8444154032156733e-07
,, put meeting with joe last aug 24,put the meeting with joe on aug 24,0,0.2574788665890224,put meeting with joe at aug 24,1,0.027176874720538972,put meeting with joe at aug 24 2019,2,4.5408887718566175e-07
,," I keep forgetting things , so show my day",What is on my calendar for today?,0,0.30097538547446445,What events do I have scheduled?,1,0.07989331029244795,What do I have later today?,2,0.0002980483698510096
 schedule a meeting with amma at 6 pm , Is this good ? , actually it should be in 1 hour from now,postpone the meeting to one hour from now,0,0.7787310389473725,Make it an hour from now,1,5.506085277637896e-09,Push it back by 1 1 in.,2,1.1522430829740042e-10
 yes . Now I would like to decline the afterparty and say that I 'm still at work ," I have declined it . I will decline "" Afterparty "" and send a response to the organizer with the following comment : "" I 'm still at work "" . Is that ok ? "," Ok Perfect , then could you decline the RoundUp for next week .","Yes, that's good. Decline my RoundUp for next week.",0,0.4608857057895486,Decline the RoundUp next week,1,8.957641412895594e-06,"Yes, that's good. Decline my RoundUp and say that I'm sick.",2,5.922389567099618e-09
 ok delete all events one by one ," I can only do one action at a time . If you separate your requests , I can help you . ", WHEN YOU ARRANGE WITH EVENT,When is my appointment?,0,0.709830004807376,when is my next meeting?,1,0.00022983764205783473,WHEN IS MY ARRANGE,2,0.00065131207203728
,, I need to reschedule my Tuesday lunch .,I need to change the date of my doctor's appointment,0,0.2942296862602234,I need to reschedule my lunch on Tuesday.,1,0.09370354185810416,Can you reschedule my Tuesday lunch?,2,0.0085059373539762
 None , Let me know if there 's anything else I can help you with . , Book a meeting for 10 years from right now with Barack Obama,I need to meet with Barack Obama 10 years from now,0,0.1011376974459034,Meeting with Barack Obama in 10 years,1,0.031280161617104014,Set up a meeting with Barack Obama next year,2,2.8243864854260077e-05
 YEH LIKE GOOD , Let me know if there 's anything else I can help you with . , Make it last to 11 : 00 AM actually . Thank you .,have this ending at 11,0,0.2301552427860686,Can you extend this to 11AM please,1,0.015993704825146185,have this ending at 11,2,1.689254424739153e-07
 Add Fran to my 2 : 30 meeting today , I did n't find any events at 2 : 30 PM . , Remove my 2 : 30 meeting today,cancel my 2 : 30 meeting today,0,0.9517487181884761,cancel my 2 : 30 meeting today,1,5.763014034336348e-07,Cancel my 2 : 30 meeting today,2,1.1776182380352846e-10
 who has nt accepted the happy hour ," Here is the list of attendees who have not accepted "" happy hour "" : you and Kim Possible . Unfortunately , Kim Possible declined . ", Who has not declined the happy hour then ?,Who has not declined the happy hour?,0,0.9913979056354135,Who has not declined that?,1,1.2773923539289321e-11,Who has not declined the happy hour?,2,1.1093033701215644e-11
 put meeting with johnny on calender , Does one of these work ? , fix the second one on calender,The 2nd one works great,0,0.7187505713895351,fix the second one,1,0.07457973062992096,put meeting with johnny,2,0.02489287592470646
 Who are Jake 's reports , Jake Cobb has no direct reports . , Who does he report to ?,Who does he repot to?,0,0.7870489582211491,who does he report to?,1,0.0035468866117298603,Who does Jake report to?,2,0.0009447153353873238
" please , cancel the all appointments on April 19 "," I can only do one action at a time . If you separate your requests , I can help you . ", I m going fishing on Saturday,Add fishing on saturday,0,0.7833872508622477,I'm going fishing this Saturday.,1,0.0012717009109889188,add fishing fishing on saturday,2,3.134793460916304e-09
 Add training to the 10 th from 4 : 00 pm until 6 : 00 pm . , Is this good ? , how about next month ?,Actually make it next month.,0,0.48554201949957776,Have training last all day the next day.,1,0.001555813243612647,I meant training next month.,2,0.0005824786595061432
 What will be the weather tomorrow ," It will be clear with a high of 0 . 00 ° F and a low of 0 . 00 ° F on Sun , October 28 . ", How much rain will we get today ?,How much rain will we get today?,0,0.7772979338145576,Will it rain today?,1,1.1687123935570765e-05,What is the chance of rain today?,2,3.8032533542017416e-09
 Do I see Amy today ? ," Yes , I found 1 event with Amy Miller today . It 's "" Date Night "" from 7 : 00 to 9 : 00 PM . ", Can you change the time to 8 ?,Change the time to 8pm,0,0.46241986797369067,Change the time to 8am,1,0.010899951445578603,Can you change that to be around 8 pm?,2,1.2599171744381695e-09
 it should actually be on Wednesday , Yes . Here are some times when Joe and you are free on Wednesday the 18 th . , Am i free next month,Am I free next month?,0,0.6950508674823901,When am I free next month?,1,0.000366047692053012,Am I free next month?,2,1.0114522619351919e-05
,, Please schedule a reminder for my 5 pm conference call tomorrow afternoon,Remind me of the first flight to london,0,0.6449586153030396,I have a conference call tomorrow at 5 pm,1,0.04019126826079707,I have a conference call tomorrow afternoon.,2,2.9777519173312248e-08
" Do I have any availability this weekend , particularly on Saturday morning ? "," No , I did n't find any events on Saturday in the morning . ", What about Next Saturday ?,What about next Saturday?,0,0.6018559357003219,What about the following Saturday?,1,2.3001045582173387e-05,What about Saturday morning?,2,5.0654736823242096e-08
 Do I meet with Tasha next week ? ," Yes , I found one event with Tasha next week . It 's "" Lunch near Lake T "" on Wednesday the 30 th from 12 : 30 to 1 : 30 PM . ", Is there a play later this week ?,Do I have a play later this week?,0,0.5446590047652715,Do I have a play later next week?,1,0.0015843040602206,Do I have a play later this week?,2,1.680704562235974e-05
" Yes , perfect ", I 've put that on your calendar . , When is my OBGYN appointment ?,when is my OBGYN appointment?,0,0.533460990272737,when is my OBGYN appointment?,1,0.03200222025073196,Can you find my OBGYN appointment?,2,2.7418208750791583e-08
 i need you to decline the event with Josh ," I will decline "" Meeting with Josh and Damon Straeter "" . Is that ok ? ", Yes also decline my AC / CD Reunion and say i am going to see Journey instead,"Yes, that's good. Decline my AC / CD Reunion and say that I am going to see Journey instead.",0,0.12846741667351952,Decline my AC / CD Reunion and say that i am going to see Journey instead,1,0.00012382195423820926,Decline my AC / CD Reunion and say that i am going to see Journey,2,2.1809524589054345e-16
 On second thought I 'm going to need it scheduled a little bit earlier . , Does one of these work ? , No later in the morning,"No, I need something later in the morning.",0,0.353783657643623,"No, I need something later in the morning.",1,0.0021252470723407955,What about late morning?,2,5.287229972311287e-11
 That 's good . , I 've put that on your calendar . , What date is Easter Sunday this year ?,When is Easter this year?,0,0.47838194486840946,When is Easter Monday this year?,1,0.0013487501746108621,When is Easter Monday?,2,0.00031644443528123026
,, Can you tell me where and when my appointment with Batman will be ?,I need to cancel all my meetings for tomorrow.,0,0.4813981354236603,Can you tell me the location of my appointment with Batman?,1,4.7153982256878104e-14,When and where will my appointment with Batman be?,2,1.75882357587105e-18
 Please cancel both Thursday meetings with John . ," I can only do one action at a time . If you separate your requests , I can help you . ", Can you send Mike an invitation ?,email Cecelia Waller that the meeting is set,0,0.09821423143148422,Can you forward this to Mike?,1,0.5732494300469714,Please add Mike to this meeting.,2,0.00016903546632160497
,, Can you make a meeting for john in 2 hours with me at sprint ?,make a meet with john at sprint in 2 hours,0,0.8258168036595668,make an appointment with john at McDonalds in 2 hours,1,1.674312426913665e-07,meeting with john at sprint in 2 hours,2,1.267960919891423e-12
,, Learn spanish in the Winter,Learn spanish in winter,0,0.6704818331094616,How old are you?,1,0.07349022477865219,create an event in winter for spanish spanish,2,6.5792700752479585e-06
 Extend it by 30 min , How about now ? , it ends at 8 AM,Extend the end time by 15 minutes.,0,0.057244736701250076,Extend it to 8AM please,1,0.4972933024244675,Extend it to 8AM please,2,0.00031647720330335973
 Am I free late morning Monday ? , Yes . Here are some times when you are free on Monday the 16 th . , What about on Friday ?,What about Friday?,0,0.5153432941978221,What about next Friday?,1,0.00018499520190064616,What about Friday?,2,9.914669523033213e-08
 i need to who know my friend , I can only look up names in your address book . Please use a full name and try again . , Can you tell me if I have a manager ?,i need john's home address,0,0.23984311521053314,Who is my boss?,1,0.11748363896323699,i need to know when my manager is free,2,0.0015308859435246888
" Okay , yes then , please set my gym appointment for Thursday at 1 pm . ", Is this good ? , Correct,Yes it does.,0,0.996491534700116,OK THANK YOU,1,0.0012402799911797047,yes,2,1.09169087525067e-11
 That is great . , I 've put that on your calendar . , I will be attending a work conference in Florida for 4 days starting on November 15 th .,I have a work conference in Florida starting on November 15th and lasting 4 days.,0,0.5934983168924737,I have a work conference in Florida starting on November 15th and lasting 4 days.,1,7.806552896847024e-05,Mark that I will be in Florida for 4 days starting November 15th.,2,1.1708020453516215e-09
 Thanks . Now can you put an early dinner event at 16 h for the same day ? , Is this what you 're looking for ? , Yessir .,"Yes, this looks good.",0,0.9935700874396538,"Ok, sounds good.",1,0.002377432305365801,Ok!,2,1.349890208836511e-10
 what are the wind speeds , It 's 5 . 71 mph . , when is sunset,when is sunset today?,0,0.355838674397129,when is sunset?,1,0.0019885084090091616,what time is sunset?,2,1.0435327941421414e-11
 I need to invite Abby to that , How is this ? , it also needs to be all day,Make it last all day.,0,0.872022005585086,Make it last all day.,1,1.5804671225669627e-06,Make it last all day.,2,7.371231820292631e-09
 Anything else on that day ? ," I found one other event on your calendar . It 's "" Coffee House "" on December 1 st from 10 : 00 to 10 : 30 AM . ", What about the next day ?,What about the next day?,0,0.4297396578310193,Anything the next day?,1,0.00013568727731888512,What about the next day?,2,4.201004677784133e-08
 When did you say it starts ? , It starts March 1 st at 2 : 00 PM . , And when will it end ?,And when does it end?,0,0.9844725833872623,When does my day end?,1,2.4315609837916643e-06,When does it end?,2,3.232661442679042e-08
 good deal , Let me know if there 's anything else I can help you with . , I need to find when I last met with bob .,When was my last meeting with bob?,0,0.5951440278819458,When was my last meeting with bob?,1,0.0016672567253173522,When was the last time I saw bob?,2,2.452121130882818e-06
 What do I have next Tuesday afternoon ? ," I found one event . It 's a "" Gym Session "" . ", Awesome . Is there a meeting between 4 and 5 pm that day ?,Do I have anything between 4 and 5 pm?,0,0.1345781091572276,Do I have anything between 4 and 5 pm that day?,1,0.007588679845580973,Is there anything between 4 and 5 pm that day?,2,6.671182022503175e-15
,, Change the location of the Family Road Trip from Phoenix to Chicago .,"Change the location of ""Family Road Trip"" from Phoenix to Chicago",0,0.680938265373932,"Change the location of ""Family Road Trip"" in Chicago.",1,1.8190991080869676e-05,"Change the location of ""Family Road Trip"" to Chicago",2,1.8214161879772062e-09
,, find the type of event scheduled for January 2 nd,What do I have planned for January 2nd?,0,0.3128131234726108,What time is my meeting on January 2nd?,1,0.027364225946136262,What is the name of the event on January 2?,2,4.6446178015684347e-07
 What time is my meeting on Friday ? , The event on your calendar is tomorrow at 9 : 00 AM . , Does Dan Schoffel report to anybody ?,When did I last drink a coffee?,0,0.392039030790329,Who is Dan Schoffel's boss?,1,0.1210924236375101,Who are Dan Schoffel's reports?,2,0.0008555045282444964
 What about tomorrow night ? ," Yes , I found one event . It 's "" Appointment "" tomorrow from 8 : 00 to 8 : 30 PM . ", And the morning ?,And the morning?,0,0.8218166184450004,And the next morning?,1,7.288019675427819e-09,And the morning?,2,1.104220402526907e-09
 hold on , No problem . , Now Create an Appointment with Jesse at 9 : 00 Pm,make a meeting with Jesse at 9 pm,0,0.6760779238940028,make a meeting with Jesse at 9 pm,1,0.001287097179019572,Make a meeting with Jesse at 9 pm that day.,2,4.008209095162258e-08
 Make an all day event for tomorrow with Abby , Is this what you 're looking for ? , Abby just called . She will not be able to make it . Cancel the all - day event .,cancel this all day event,0,0.37849271297454834,Remove Abby from the all day event,1,0.014388330080218179,Delete the all day event without Abby,2,0.005662265885061911
 add dates to my calendar , Does one of these work ? , yes,yes,0,0.854543458330509,How do I create calendar events?,1,0.029662329703569412,yes,2,0.012452881783246994
 Thank you . ," I 've changed "" Meeting with Barack Obama "" to be . ", Can you cancel the meeting with Barack Obama ?,Meeting with Barack Obama. Cancel,0,0.9815196273122144,Remove meeting with Barack Obama,1,1.6829734310659858e-14,Meeting with Barack Obama. Cancel,2,3.200943495984072e-10
 And the next one ? , That was the last result . , IS there a lunch schedule after the dentist ?,Do I have a lunch after the dentist?,0,0.00484238833625658,Do I have a lunch after the dentist?,1,1.4557798731976232e-09,Do I have anything after lunch but before the dentist?,2,9.457622282782353e-09
,, Please check to see if I have any dentist appointments this week .,What dentist appointments do I have this week?,0,0.7099533119394685,Do I have any dentist appointments this week?,1,0.00020210222416759636,What day is my dentist appointment this week?,2,2.5171323647724776e-06
 ok fine thank you ," I 've changed "" Doctor 's Appointment for that issue that 's maybe life - threatening "" to be . ", Cancel my doctors appointment for friday,Can you cancel my doctors appointment on Friday?,0,0.9748545458725236,Can you cancel my doctors appointment on Friday?,1,1.2777778043054005e-08,cancel the doctors appointment on friday,2,5.7515588702552246e-09
 when did i meet with John last week ? , The event with John last week was on Wednesday the 8 th at 9 : 00 AM . , Change the time to 10 am to 11 am .,change the meeting time at 10.00 am - 11.00am,0,0.35353250684282883,please change the meeting 10.00 am - 11.00am,1,1.1184957995439417e-14,Can you change the time to 10:00 to 11:00 AM?,2,9.66063137563341e-15
,, what event do ih ave next ?,What is my next scheduled event?,0,0.19715386055498735,when is my next iih,1,0.0017336334840958364,Show my next meeting with ih,2,7.818585233660585e-05
 Yes also decline my AC / CD Reunion and say i am going to see Journey instead ," I have declined it . I will decline "" AC / CD Reunion "" and send a response to the organizer with the following comment : "" i am going to see Journey instead "" . Is that ok ? ", Yes . And decline the hike and say that I 'm busy wake boarding that day .,"Yes, that's good. Decline my hike and say that I'm busy wake boarding that day.",0,0.04656664127428379,"Yes, that's good. Decline my hike and say that I'm busy wake boarding that day.",1,2.1312935691803432e-08,"Yes, that's good. Decline my hike and say that I'm busy wake boarding that day.",2,1.5894855527927881e-12
,, How long have a blocked out for my doctor 's appointment ?,How old are you?,0,0.5245875716209412,How many days do I have completely free next month?,1,0.18278637528419495,How long is my doctor's appointment?,2,1.391659883612525e-05
" Hi , what meetings do I have scheduled for tomorrow ? ", Here 's what I found : , Is there something the next day ?,Do I have anything the next day?,0,0.4344923316121242,How about the day after?,1,4.761483725874687e-05,Do I have anything the next day?,2,1.955980478266685e-05
,, delete my event with Sam at the museum on the 22 nd,Sam and I aren't going to the museum on the 22nd anymore.,0,0.21229895633639745,Cancel my visit to the museum on the 22nd.,1,0.001482727455519872,Delete my meeting with Sam on the 22nd.,2,0.001325932396971326
 what events are this weekend ? , I did n't find any events this weekend . ," Nevermind , just put that on my calendar",How do I create an event?,0,0.42879173159599304,Yes that looks right.,1,0.039644128029338255,Can you create an event?,2,0.02388214255102472
 Can you schedule me a hair apointment for next wee , Does one of these work ? , 28 is ok,The one on the 28th,0,0.7703585094660129,The one on the 28th please,1,0.0003144522058151491,The one on the 28th please,2,7.069490520135472e-08
 Yes . Is there anything scheduled for after that event ? ," I 've put that on your calendar . No , I did n't find any events on August 5 th after 2 : 30 . ", ok put meeting on tomorrow after 12 PM,I need a meeting tomorrow after 12 pm,0,0.6125648181493474,I need a meeting tomorrow after 12 pm,1,0.0012549374904081345,I need a meeting tomorrow after 12,2,1.173841430174134e-06
 Do I have anything on Sunday after 5 pm ? ," No , I did n't find any events on Sunday the 20 th after 5 : 00 PM . ", Put Strange Aeons for sunday at 7 : 30 pm until 11 pm . It 'll be in Roll20 as usual .,Add Strange Aeons to my calendar on Sunday from 7 pm to 11 pm at Roll20.,0,2.525002603560472e-09,Add Strange Aeons to my calendar on Sunday from 7 pm to 11 pm at Roll20.,1,3.172980236975842e-10,Can you confirm this?,2,0.0
 That 'll work . , I 've put that on your calendar . , 2 - 4 PM is down time with janice .,2-4PM down time with janice,0,4.00755840302161e-14,2-4PM down time with janice,1,2.2576996838799601e-10,2pm down time with janice until 4pm,2,1.087586338030923e-19
 Looks good to me . , I 've put that on your calendar . , Schedule a video call with Tom and his supervisor Friday at 2 .,Schedule a video call with the manager on Friday at 2:00 pm.,0,1.678808519986126e-10,Schedule a video call with the manager and his boss for Friday at 2 pm.,1,1.740040292346463e-17,Schedule a video call with Tom's boss for Friday at 2 pm.,2,1.740040292346463e-17
 yes , I have accepted it . , Thanks . Accept my personal training appointment and say that I 'll bring my own weights to use during our workout .,Please accept my personal training appointment and say that I'll bring my own weights to use during our workout.,0,0.2394426167872333,Please accept my personal training appointment and say that I'll bring my own weights to our workout during our workout.,1,3.420264101410903e-08,Please accept my personal training appointment and say that I'll bring own weights to use during our workout.,2,5.825259980845042e-19
,, Set a reminder for my doctor 's appointment Friday,Remind me of the first flight to london,0,0.7213865518569946,I have a doctor's appointment on Friday,1,0.005342658933364491,I had a doctor's appointment last friday?,2,3.805225691405868e-13
