"HITId","HITTypeId","Title","CreationTime","MaxAssignments","AssignmentDurationInSeconds","AssignmentId","WorkerId","AcceptTime","SubmitTime","WorkTimeInSeconds","Input.agent_turn_0","Input.option_idx_list","Input.option_list","Input.user_turn_0","Input.user_turn_1","Answer.comments","Answer.manual_entry","Answer.radio-input","Turkle.Username"
"737571","997","TestCalibrationHit","Thu Oct 20 14:51:40 UTC 2022","1","86400","30916","52","Thu Oct 20 15:08:03 UTC 2022","Thu Oct 20 15:08:48 UTC 2022","45"," Let me know if there 's anything else I can help you with . ","[0, 1, 2, 3, 4, 5, 6, 8, 9]","[""I need to meet with Barack Obama 10 years from now"", ""Meeting with Barack Obama in 10 years"", ""Set up a meeting with Barack Obama in 10 years"", ""Set up a meeting with Barack Obama next year"", ""Schedule a meeting with Barack Obama 10 days from now"", ""Please schedule a meeting with Barack Obama 10 years from now"", ""i need an event in 10 10 with Barack Obama"", ""i need an event with Barack Obama this year"", ""Schedule a meeting with Barack Obama 10 months from now""]"," None "," Book a meeting for 10 years from right now with Barack Obama ","","","5","esteng"
"737572","997","TestCalibrationHit","Thu Oct 20 14:51:40 UTC 2022","1","86400","30917","52","Thu Oct 20 15:08:48 UTC 2022","Thu Oct 20 15:09:10 UTC 2022","22"," I will decline "" Meeting with Josh and Damon Straeter "" . Is that ok ? ","[0, 1, 2, 3, 4, 5, 8, 9]","[""Yes, that's good. Decline my AC / CD Reunion and say that I am going to see Journey instead."", ""Decline my AC / CD Reunion and say that i am going to see Journey instead"", ""Decline my AC / CD Reunion and say that i am going to see Journey"", ""Yes, that's good. Decline my AC / CD Reunion and say that I am going to see Journey."", ""Yes, that's good. Decline my AC / CD Reunion and say that i am going to see Journey Reunion instead."", ""Yes, that's good. Decline my AC / CD and say that i am going to see Journey instead."", ""Yes, that's good. Decline my AC / CD Reunion and say that i am going to see Journey Journey instead."", ""Yes, that's good. Decline my AC / CD Reunion and say that \""It am going to see Journey instead\""""]"," i need you to decline the event with Josh "," Yes also decline my AC / CD Reunion and say i am going to see Journey instead ","","","1","esteng"
"737573","997","TestCalibrationHit","Thu Oct 20 14:51:40 UTC 2022","1","86400","30918","52","Thu Oct 20 15:09:10 UTC 2022","Thu Oct 20 15:10:25 UTC 2022","75","","[0, 1, 2, 3, 4, 6, 7, 8]","[""Kevin will be replacing Steve, John, Kayla, and Thomas."", ""Add Kevin, Steve, John and remove Kayla and Thomas."", ""Add Kevin to the meeting and remove Kayla and Thomas."", ""Add Kevin and John to the event and remove Kayla and Thomas."", ""Add Kevin to the event and remove Kayla and Thomas."", ""Add Kevin to the meeting and remove Steve, Kayla and Thomas."", ""Remove John, Kayla, and Thomas from the 3:30 meeting tomorrow."", ""Kevin will be replacing Steve and John with Kayla and Thomas.""]",""," Please invite Kevin and Steve to tomorrow 's 3 : 30 meeting , and remove John , Kayla and Thomas ","","Add Kevin and Steve to the 3:30 meeting tomorrow and remove John, Kayla and Thomas from the 3:30 meeting tomorrow.","","esteng"
"737574","997","TestCalibrationHit","Thu Oct 20 14:51:40 UTC 2022","1","86400","30919","52","Thu Oct 20 15:10:25 UTC 2022","Thu Oct 20 15:10:33 UTC 2022","8","","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[""What is my next scheduled event?"", ""when is my next iih"", ""what is my next meeting at ih"", ""What is my first scheduled event?"", ""What's the first thing going on right now?"", ""Show my next meeting with ih"", ""When is my next meeting with ih?"", ""when is my next iih?"", ""What is my next event after this one?"", ""What is my next event with Kim?""]",""," what event do ih ave next ? ","","","1","esteng"
"737575","997","TestCalibrationHit","Thu Oct 20 14:51:40 UTC 2022","1","86400","30920","52","Thu Oct 20 15:10:33 UTC 2022","Thu Oct 20 15:11:40 UTC 2022","67"," I found 2 events not matching "" eating "" . ","[0, 1, 3, 4, 5, 7, 8]","[""Show me events that are not eating."", ""What can you do?"", ""Show me events that are not work related."", ""Show events that are not eating."", ""Do I have anything on my calendar besides work?"", ""Show me events that are not traveling."", ""Do I have any upcoming events?""]"," Show me events besides eating . "," Does my calender have anything that is not work ? ","","","3","esteng"
"737576","997","TestCalibrationHit","Thu Oct 20 14:51:40 UTC 2022","1","86400","30921","52","Thu Oct 20 15:11:40 UTC 2022","Thu Oct 20 15:12:00 UTC 2022","20"," Presidents Day is on Monday , February 15 , 2021 . ","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[""When is Arbor Day in 2021?"", ""Can you schedule a vacation on June 1 next year?"", ""Can you schedule a vacation for the first week of June?"", ""Can you put me down for vacation sometime in June next year?"", ""Can you put me down for vacation during June next year?"", ""i need to add an event for the first week of june"", ""Can you put me down for vacation in June next year?"", ""Can you make me an event for June 1 next year?"", ""Can you schedule a vacation for the first weekend in june?"", ""Can you put me down for vacation on June 6 next year?""]"," I would like to know what day presidents day falls on next year please . "," Can you put vacation on the first of June next year ? ","","","2","esteng"
"737577","997","TestCalibrationHit","Thu Oct 20 14:51:40 UTC 2022","1","86400","30922","52","Thu Oct 20 15:12:00 UTC 2022","Thu Oct 20 15:12:17 UTC 2022","17","","[0, 1, 3, 4, 5, 9]","[""Cancel my meeting with bob this afternoon"", ""Cancel my meeting this afternoon with bob."", ""Cancel the meeting with bob"", ""Cancel the meeting with bob today"", ""Cancel my afternoon meeting with bob."", ""Cancel my meeting today at noon with bob.""]",""," Cancel my meeting for this afternoon with bob . ","","","1","esteng"
"737578","997","TestCalibrationHit","Thu Oct 20 14:51:40 UTC 2022","1","86400","30923","52","Thu Oct 20 15:12:17 UTC 2022","Thu Oct 20 15:12:31 UTC 2022","14"," Does one of these work ? ","[0, 1, 2, 3, 4, 5, 6, 9]","[""bye"", ""Yes"", ""How do I confirm?"", ""I want to change the time of my appointment on Thursday."", ""No"", ""Hello. I need help with my calendar."", ""Are you there?"", ""the first one""]"," Hello . I want to schedule my appointment . Select this Thursday . "," OK ","","","2","esteng"
"737579","997","TestCalibrationHit","Thu Oct 20 14:51:40 UTC 2022","1","86400","30924","52","Thu Oct 20 15:12:31 UTC 2022","Thu Oct 20 15:12:43 UTC 2022","12"," I found one event . It 's a "" Gym Session "" . ","[0, 1, 2, 5]","[""Do I have anything between 4 and 5 pm?"", ""Do I have anything between 4 and 5 pm that day?"", ""Anything between 4 and 5 pm that day?"", ""Is there anything between 4 and 5 pm that day?""]"," What do I have next Tuesday afternoon ? "," Awesome . Is there a meeting between 4 and 5 pm that day ? ","","","2","esteng"
"737580","997","TestCalibrationHit","Thu Oct 20 14:51:40 UTC 2022","1","86400","30925","52","Thu Oct 20 15:12:43 UTC 2022","Thu Oct 20 15:12:52 UTC 2022","9"," Does one of these work ? ","[0, 1, 2, 4, 5, 7, 8, 9]","[""The 2nd one works."", ""The later one works best."", ""fix the second one"", ""I am not sure yet."", ""ok"", ""The 1st one works."", ""The first option."", ""What is the second option?""]"," Can you give me an earlier option ? "," Please do the second work ","","","1","esteng"
"737581","997","TestCalibrationHit","Thu Oct 20 14:51:40 UTC 2022","1","86400","30926","52","Thu Oct 20 15:12:52 UTC 2022","Thu Oct 20 15:13:08 UTC 2022","16","","[0, 1, 2, 3, 4, 5, 6, 7, 8]","[""I need to change the date of my doctor's appointment"", ""I need help with my calendar"", ""Can you tell me the weather for tomorrow in Greenville, NC?"", ""I need to reschedule my lunch on Tuesday."", ""Can you reschedule my Tuesday lunch?"", ""Can you reschedule my lunch on Tuesday?"", ""Please reschedule my lunch"", ""Can you reschedule my appointment on Tuesday?"", ""Can you reschedule my Tuesday Lunch?""]",""," I need to reschedule my Tuesday lunch . ","","","4","esteng"
"737582","997","TestCalibrationHit","Thu Oct 20 14:51:40 UTC 2022","1","86400","30927","52","Thu Oct 20 15:13:08 UTC 2022","Thu Oct 20 15:13:20 UTC 2022","12"," I did n't find any events on your calendar tomorrow at 1 : 00 PM . ","[0, 1, 2, 3, 4, 7, 8]","[""I need to remove an appointment"", ""Please reschedule my appointment at 1 PM to 2 PM"", ""Please change my appointment at 1 PM to 2 PM."", ""Please change my appointment at 1 PM to 2 PM"", ""Can you change the time to 2pm"", ""Please move my appointment at 1 PM to 2 PM."", ""Please reschedule my appointment today at 1 PM to 2 PM.""]"," Please remove my appointment at 1 PM . "," Please change my 1 PM appointment to 2 PM . ","","","2","esteng"
"737583","997","TestCalibrationHit","Thu Oct 20 14:51:40 UTC 2022","1","86400","30928","52","Thu Oct 20 15:13:20 UTC 2022","Thu Oct 20 15:14:18 UTC 2022","58","","[0, 1, 2, 4, 5, 7, 9]","[""Sam and I aren't going to the museum on the 22nd anymore."", ""Cancel my visit to the museum on the 22nd."", ""Delete my meeting with Sam on the 22nd."", ""Delete my event at the museum on the 22nd."", ""I never went to the museum with Sam on the 22nd. Delete it."", ""Sam and I aren't going to the museum anymore on the 22nd."", ""Delete my meeting with Sam at the museum on the 22nd.""]",""," delete my event with Sam at the museum on the 22 nd ","","","1","esteng"
"737584","997","TestCalibrationHit","Thu Oct 20 14:51:40 UTC 2022","1","86400","30929","52","Thu Oct 20 15:14:18 UTC 2022","Thu Oct 20 15:14:33 UTC 2022","15"," Let me know if there 's anything else I can help you with . ","[0, 1, 2, 3, 4, 5, 6]","[""what about the rest of the day?"", ""today's calender"", ""What events do I have that day?"", ""What else do I have that day?"", ""Do I have anything later today?"", ""any other event on my calander today"", ""what is my next event on my calander""]"," i payed well "," ok fine , what about the rest of the day ? ","","","1","esteng"
"737585","997","TestCalibrationHit","Thu Oct 20 14:51:40 UTC 2022","1","86400","30930","52","Thu Oct 20 15:14:33 UTC 2022","Thu Oct 20 15:14:45 UTC 2022","12"," Does one of these work ? ","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[""Show me different times."", ""Show some different timing."", ""The later one."", ""No, I need it to be later in the afternoon."", ""yes"", ""I'll take the later one."", ""The bottom one please"", ""The earlier one please"", ""The first one please."", ""I like the later time.""]"," I need to move today 's staff meeting to Thursday afternoon . "," The later one works . ","","","3","esteng"
