user_turn_0,agent_turn_0,user_turn_1,option_0,option_0_idx,option_1,option_1_idx,option_2,option_2_idx,option_3,option_3_idx,is_checkmark_page
 What do I have scheduled for February 18 th , I did n't find any events on Monday the 18 th . , how come ? check again,Really?,1,Try searching again,0,Are you sure about that? Please check again.,2,The 2nd one works.,3,true
 I changed my mine . I want it earlier than the first suggested time so that I can go to have lunch with Ann . , Does one of these work ? , The last one,The bottom one please,0,The bottom one please,2,I like the earlier one.,1,Delete my service at 08h on Sunday.,3,true
 Thank you adding drinks on my calendar . , Let me know if there 's anything else I can help you with . , Make drinks tomorrow at 8 : 00 pm 1 . 5 hours long .,Update drinks tomorrow at 8:00 to 1.5 hours.,1,Add drinks tomorrow at 8 pm for 2 and a half hours.,2,Add drinks to my calendar tomorrow at 8 pm for 1.5 hours,0,What meeting do I have in an hour?,3,true
 Schedule the meeting on Monday , Does one of these work ? , Chang the name to Meeting .,Chang,1,The one on the 16th,3,Rename it to Meeting Meeting,2,"Rename it to ""Meeting""",0,true
 The second option . , I 've put that on your calendar . , I had a conference call last thursday .,I had a conference call last Thursday night,2,I had a conference call last Thursday,1,I need to move it to later this week.,3,I had a conference call last Thursday,0,true
 I need a meeting with kim and her skip tomorrow morning . , Here are some times when everyone is free . , Is it possible I can cancel my meeting with Kim Possible tommorrow ?,Cancel my meeting with Kim Possible tomorrow.,2,"No, they don't.",1,Cancel my meeting with Kim Possible tomorrow.,0,fix the first one,3,true
 Can you update another event now , Could you be more specific with your request ? , Xavier and I are n't going fishing anymore on Saturday .,Can you add James Karl and Mike to this event?,3,Delete the fishing event with Xavier on Saturday.,1,Xavier and I aren't going fishing on Saturday anymore.,2,Delete fishing with Xavier on Saturday.,0,true
 need help managing my calendar ," I can help you create , update , and delete events on your calendar . You can also ask me about your schedule . ", from today to next monday,I need a meeting from today until next monday,2,Accept the meeting for next week,3,I have a meeting that ends on monday,1,I need an all day event starting this friday until monday,0,true
 Did I accept the meeting call on the 24 th ? ," You were the organizer of \"" Operations Call \"" . "," Okay , please decline that meeting call .",Decline the meeting call.,1,cancel the meeting call,2,Change the title to Stop & Go & &,3,Please decline this event.,0,true
,, Add Cert Renewal for the 18 th through the 27,Put Cert Renewal 18 on my calendar that ends on the 18th.,1,Put Cert Renewal on my calendar from today until the 27th.,0,Who are David Lax's reports?,3,Put Cert Renewal 18 on my calendar that ends on the 18th.,2,true
 I need an hour long appointment at 4 tomorrrow , Is this good ? ," Name the appointment "" staff meeting "" .",change the staff meeting to be called staff meeting,2,"Can you change the title to ""staff meeting""",1,Rename it to Meeting Meeting,3,"Can you change the name to ""staff meeting""",0,true
 make a schedule to talk customer care before monday , Does one of these work ? ," Oh , okay , well , can you just mark down a morning check - in with Pete at Starbucks for 10 : 30 am on next Thursday ?",Decline the meeting call.,3,Schedule a morning check-in in with Pete at Starbucks on Thursday at 10:30 am.,0,Schedule a morning check-in Starbucks with Pete on Thursday at 10:30 am.,1,"Schedule a morning check-in, with Pete at Starbucks on Thursday at 10:30 am.",2,true
,, Could you please tell me what the weather be like at the car wash appointment,How old are you?,1,What will the temperature be at 3am tomorrow?,3,what will the weather be like at the car wash,2,What will the weather be like for my car wash appointment?,0,true
 Cancel the little league game on Wednesday . , Is this what you want me to cancel ? , Sorry I meant the one on Thursday .,Actually cancel the one on Thursday.,0,I meant the one on Thursday.,2,I meant the one on Thursday.,1,cancel the 1 pm,3,true
 Do I have any more meeting today ," Yes , I found 3 events today . The first is \"" 1 - 1 - 1 \"" from 8 : 00 to 8 : 30 AM . ", Thanks . Do i have any meetings on monday morning ?,make that 10-11,3,What do I have on Monday morning?,1,Do I have a meeting Monday morning?,0,Do I have any meetings on Monday?,2,true
 I need to see doctor before Wdnesday , Does one of these work ? , the one on the 16 th works .,The one on the 16th,1,The one on the 16th,0,The one on the 16th,2,Schedule a meeting with the marketing department tomorrow.,3,true
 Do I have anything Sunday evening ? ," No , I did n't find any events on Sunday the 8 th evening . ", What events do I have this month with Ramon ?,What events do I have with Ramon this month?,1,What events do I have this month with Ramon?,0,What events do I have this month with Ramon?,2,Cancel my meeting with Kim Possible tomorrow.,3,true
,, make a meeting with jenny tomorrow at 2,make an appointment with jenny at tomorrow 2 pm,0,Delete my service at 08h on Sunday.,3,make an appointment with jenny at 2 pm,2,make an appointment with jenny at tomorrow 2 pm,1,true
,, make a party with waugh the day after tomorrow 7 . 00 to 7 . 30 apm,"Can you tell me the weather for tomorrow in Greenville, NC?",0,the party with waugh ends the day after tomorrow at 7.30 pm,2,Can you add Barb to that?,3,the party with waugh ends the day after tomorrow at 7:30 pm,1,true
 create a timer please ," Sorry , I ca n't do reminders . "," Jane wo n't be at the party this week , but Ashley and Sloan said they would be there instead .",cancel the 1 pm,3,Jane isn't coming to the party this week but Ashley and Sloan are.,1,Jane isn't coming to the party this week but Ashley and Sloan are.,2,Jane isn't coming to the party this week but Ashley and Sloan are.,0,true
 I had a birthday party event for Emily last saturday at 12 pm , Is this what you 're looking for ? , James Karl and Mike showed up at the party as well .,"Can you add James, Karl, and Mike to this event?",0,Add dinner with Karina for last Saturday at 8 pm.,3,Can you add James and Mike to this event?,2,Can you add James Karl and Mike to this event?,1,true
 What did I do yesterday ? ," I found one event yesterday . It was \"" Appointment \"" from 9 : 00 to 9 : 30 AM . ", How about the day before yesterday ?,When was my longest meeting last week?,1,And the day before yesterday?,2,"Can you tell me the weather for tomorrow in Greenville, NC?",3,And the day before yesterday?,0,true
 what event do i have tomorrow ," I found 1 event tomorrow . It 's \"" Billy 's karate \"" from 9 : 00 to 10 : 00 AM . ", yeah cool now let 's make another event after that fam,Make an event right after that,0,add event after that called fam,1,add fam after this event,2,Can you rename that to In N Out Burger and make it start around 5 pm instead?,3,true
 ok , I 've deleted your event . , cancel the appointment at 1 : 00 PM,Schedule a meeting with the marketing department tomorrow.,3,cancel the 1 pm,2,Can you cancel my 1pm?,0,cancel the 1 pm,1,true
 show me my interview tomorrow ," I found 1 matching event on your calendar . It 's your \"" Interview \"" . ", show body prep meeting,show body prep meeting,0,show me my body prep meeting,1,show body prep,2,Search for all events,3,true
 Set pick up Mark 's gift this morning , Does one of these work ? , I 'll take the earlier morning one .,MAKE A ONE HOUR LUNCH TONIGHT,3,Set it for early morning,2,Pick the earlier time.,0,The one in the morning.,1,true
 Add coffee with Josh for tomorrow at 10 am . , Is this good ? , make it from 10 til 11,make that 10-11,2,make that 10-11,0,make that 10-11,1,"Can you change the title to ""staff meeting""",3,true
,, How are my plans looking ?,"Can you tell me the weather for tomorrow in Greenville, NC?",2,"Emily isn't coming to the kickball game today, but Darren is.",3,What events do I have scheduled?,0,I need help with my calendar,1,true
 INVITE MONA TO THE DANCING COMPETITION , Does this look right ? ," Change "" dancing competition "" to 8 : 00 PM .",What will the temperature be for my meeting at 3am tomorrow?,3,put dancing competition start time changed to 8pm,0,change the time to 8pm,1,The dancing competition starts at 8.,2,true
