user_turn_0,agent_turn_0,user_turn_1,option_0,option_0_idx,option_1,option_1_idx,option_2,option_2_idx,option_3,option_3_idx,is_checkmark_page
 What do I have scheduled for February 18 th , I did n't find any events on Monday the 18 th . , how come ? check again,Really?,1,Try searching again,0,Are you sure about that? Please check again.,2,The 2nd one works.,3,true
 I changed my mine . I want it earlier than the first suggested time so that I can go to have lunch with Ann . , Does one of these work ? , The last one,The bottom one please,0,The bottom one please,2,I like the earlier one.,1,Delete my service at 08h on Sunday.,3,true
 Thank you adding drinks on my calendar . , Let me know if there 's anything else I can help you with . , Make drinks tomorrow at 8 : 00 pm 1 . 5 hours long .,Update drinks tomorrow at 8:00 to 1.5 hours.,1,Add drinks tomorrow at 8 pm for 2 and a half hours.,2,Add drinks to my calendar tomorrow at 8 pm for 1.5 hours,0,What meeting do I have in an hour?,3,true
 Schedule the meeting on Monday , Does one of these work ? , Chang the name to Meeting .,Chang,1,The one on the 16th,3,Rename it to Meeting Meeting,2,"Rename it to ""Meeting""",0,true
 The second option . , I 've put that on your calendar . , I had a conference call last thursday .,I had a conference call last Thursday night,2,I had a conference call last Thursday,1,I need to move it to later this week.,3,I had a conference call last Thursday,0,true
 I need a meeting with kim and her skip tomorrow morning . , Here are some times when everyone is free . , Is it possible I can cancel my meeting with Kim Possible tommorrow ?,Cancel my meeting with Kim Possible tomorrow.,2,"No, they don't.",1,Cancel my meeting with Kim Possible tomorrow.,0,fix the first one,3,true
 Can you update another event now , Could you be more specific with your request ? , Xavier and I are n't going fishing anymore on Saturday .,Can you add James Karl and Mike to this event?,3,Delete the fishing event with Xavier on Saturday.,1,Xavier and I aren't going fishing on Saturday anymore.,2,Delete fishing with Xavier on Saturday.,0,true
 need help managing my calendar ," I can help you create , update , and delete events on your calendar . You can also ask me about your schedule . ", from today to next monday,I need a meeting from today until next monday,2,Accept the meeting for next week,3,I have a meeting that ends on monday,1,I need an all day event starting this friday until monday,0,true
 Did I accept the meeting call on the 24 th ? ," You were the organizer of "" Operations Call "" . "," Okay , please decline that meeting call .",Decline the meeting call.,1,cancel the meeting call,2,Change the title to Stop & Go & &,3,Please decline this event.,0,true
,, Delete the service I have schedule for Sunday at 07 h,Delete my service at 08h on Sunday.,1,Delete my service at 06h on Sunday.,2,Delete my service at 07h on Sunday.,0,When was my longest meeting last week?,3,true
,, can you make Dinner that is n't on the weekend,Dinner can't be on the weekend.,2,I meant the one on Thursday.,3,Can you make me a Lunch but not on the weekend,1,Dinner can't be on the weekend.,0,true
 cancel my lunch , Is this what you want me to cancel ? , show my all events,Search for all events,2,defer the next meeting Simmons,0,Are you sure about that? Please check again.,3,search events,1,true
 Is that a good place for a group meal ? ," Yes , Twisted Fork is good for groups . ", Texas Roadhouse in reno,Find me Texas Roadhouse in reno,1,Find me Texas Roadhouse in reno,0,What's the weather like at Texas Roadhouse in reno?,2,Can you add James Karl and Mike to this event?,3,true
" Yes , i am also feel like that . ", Let me know if there 's anything else I can help you with . , How long is the work lunch next Thursday ?,How long is my work lunch?,1,create black friday shopping,3,How long is my work lunch on Thursday?,2,How long is my work lunch on Thursday?,0,true
,, Schedule meeting with the Supervisor on monday at 10 am,Who are David Lax's reports?,3,Schedule a meeting with my boss on Monday at 10 am.,1,Schedule a meeting with my boss on Monday at 10 am.,2,Please schedule a meeting with the pope tomorrow.,0,true
 Hello ! Please can you tell me if I have any scheduled events this upcoming weekend ? ," I found 1 event this weekend . It 's "" Pwn some Bandits "" on Saturday from 3 : 00 to 3 : 30 PM . ", What about next weekend,What do I have next weekend?,1,Find my lunch date today with sam.,3,What about next week?,2,What about next weekend?,0,true
 Provide me with a list of my reports . ," Your direct reports are Abby Gonano , Jesse Rosenfeld and 1 other . ", Can you schedule a meeting with the reports tomorrow at 2 ?,please make a meet with my direct reports,0,"Add Larry Smith, Bill, and Danny to the meeting with John Smith.",3,Can you make an event for tomorrow at 2pm,2,Set up a meeting with my reports for 2 pm tomorrow.,1,true
 What is the universe made of ? ," Sorry , I can only help with your calendar . "," It was Sunday on Jan 1 , 2006 . What was the day of the week Jan 1 , 2010 ?","What day was January 1, 2010?",2,"What day was January 1, 2010?",1,What do I have after 1400?,3,When is the next holiday?,0,true
,," I need to know every events I had last year , please .",Check for Apex at 3.,3,Did I have any meetings last year?,2,Can you tell me when my next block of free time is?,0,What did I do last year?,1,true
 yes this looks good to me , I 've put that on your calendar . ," Let 's add Larry , Bill , and Danny to the meeting with John Smith","No, I need it to be 2 hours long, from 2 to 3 pm.",3,"Add Larry Smith, Bill, and Danny to the meeting with John.",0,"Add Larry John, Bill, and Danny to the meeting with John.",2,"Add Larry Smith, Bill, and Danny to the meeting with John Smith.",1,true
 Actually I need to make it a little later ... , Here are some times when you and Crystal are free . , The second one is later thanks,The 2nd one works.,2,fix the second one,0,The 2nd one works.,1,"Schedule the appointment for 12:00 PM. Also, please add Celebratory Dinner with Thomas tomorrow at around 6:30 PM.",3,true
 Can you double check that I do n't have anything planned on Saturday ? ," I found one event on Saturday . It 's "" Appointment "" from 3 : 00 to 3 : 30 PM . "," Alright , what about Sunday ?",What about Sunday?,2,Rename it to Meeting Meeting,3,What about Sunday?,0,What about Sunday?,1,true
 Let 's go with the second one . , I 've put that on your calendar . , Can you give the address of the Smithsonian National Zoo ?,Can you give me the address for Smithsonian National Zoo?,0,What is the address of the Smithsonian National Zoo?,2,fix the second one,3,What is the address of the Smithsonian National Zoo?,1,true
 Remind me about my anniversary on thursday , Does one of these work ? , Can you do an earlier time ?,make it earlier,0,make them earlier,2,I need to move it to later this week.,3,I need to edit the first event.,1,true
,," Will Jeff , Jimmy , and Elliot be at the birthday party this weekend ?",Is Elliot coming to my birthday party this weekend?,2,"Will Jeff, Jimmy, and Elliot be at my birthday party this weekend?",1,I need to cancel all my meetings for tomorrow.,0,Can you add James and Mike to this event?,3,true
 Look well , I 've put that on your calendar . , Check for Apex at 3 .,Check for Apex at 3.,0,Can you show me my interview tomorrow?,3,Apex for Apex starts at 3.,1,Check for Apex at 3.,2,true
 What is on my calendar this Saturday ? , I did n't find any matching events on your calendar . , Add a 4 hour baseball game in the afternoon,Create a baseball game for 4 hours in the afternoon.,0,Create a baseball game for 4 hours this afternoon.,1,What events do I have this month with Ramon?,3,Schedule a baseball game for that afternoon for 4 hours.,2,true
 schedule a meeting with the marketing department tomorrow . , I can only look up names in your address book . Please use a full name and try again . , Schedule a meeting with Marcus from the marketing department tomorrow .,Is Elliot coming to my birthday party this weekend?,3,schedule a meeting with Marcus on tomorrow for the meeting department,2,Schedule a meeting with the marketing department tomorrow.,0,Can you find Jack Sparrow's address?,1,true
" Oh dear , I just realized I need it to be 2 hours instead of half an hour . ", Is this the change you want to make ? , Actually can you make that 3 hours and a half just to be safe ?,Schedule a morning check-in in with Pete at Starbucks on Thursday at 10:30 am.,3,"No, I need it to last for more than 3 and a half hours.",2,"No, I need it to be 3 and a half hours long.",0,"No, I need it to be 3 and a half hours instead.",1,true
