user_turn_0,agent_turn_0,user_turn_1,option_0,option_0_idx,option_1,option_1_idx,option_2,option_2_idx,option_3,option_3_idx,is_checkmark_page
 What do I have scheduled for February 18 th , I did n't find any events on Monday the 18 th . , how come ? check again,Really?,1,Try searching again,0,Are you sure about that? Please check again.,2,The 2nd one works.,3,true
 I changed my mine . I want it earlier than the first suggested time so that I can go to have lunch with Ann . , Does one of these work ? , The last one,The bottom one please,0,The bottom one please,2,I like the earlier one.,1,Delete my service at 08h on Sunday.,3,true
 Thank you adding drinks on my calendar . , Let me know if there 's anything else I can help you with . , Make drinks tomorrow at 8 : 00 pm 1 . 5 hours long .,Update drinks tomorrow at 8:00 to 1.5 hours.,1,Add drinks tomorrow at 8 pm for 2 and a half hours.,2,Add drinks to my calendar tomorrow at 8 pm for 1.5 hours,0,What meeting do I have in an hour?,3,true
 Schedule the meeting on Monday , Does one of these work ? , Chang the name to Meeting .,Chang,1,The one on the 16th,3,Rename it to Meeting Meeting,2,"Rename it to ""Meeting""",0,true
 The second option . , I 've put that on your calendar . , I had a conference call last thursday .,I had a conference call last Thursday night,2,I had a conference call last Thursday,1,I need to move it to later this week.,3,I had a conference call last Thursday,0,true
 I need a meeting with kim and her skip tomorrow morning . , Here are some times when everyone is free . , Is it possible I can cancel my meeting with Kim Possible tommorrow ?,Cancel my meeting with Kim Possible tomorrow.,2,"No, they don't.",1,Cancel my meeting with Kim Possible tomorrow.,0,fix the first one,3,true
 Can you update another event now , Could you be more specific with your request ? , Xavier and I are n't going fishing anymore on Saturday .,Can you add James Karl and Mike to this event?,3,Delete the fishing event with Xavier on Saturday.,1,Xavier and I aren't going fishing on Saturday anymore.,2,Delete fishing with Xavier on Saturday.,0,true
 need help managing my calendar ," I can help you create , update , and delete events on your calendar . You can also ask me about your schedule . ", from today to next monday,I need a meeting from today until next monday,2,Accept the meeting for next week,3,I have a meeting that ends on monday,1,I need an all day event starting this friday until monday,0,true
 Did I accept the meeting call on the 24 th ? ," You were the organizer of \"" Operations Call \"" . "," Okay , please decline that meeting call .",Decline the meeting call.,1,cancel the meeting call,2,Change the title to Stop & Go & &,3,Please decline this event.,0,true
,, I need event to be at 13 tomorrow,make an event for 13 tomorrow,2,make an Event for 13 tomorrow,0,What will the temperature be at 3am tomorrow?,3,make an event for 1300 tomorrow,1,true
,, schedule a date with Lola this weekend on Saturday or Sunday for 3 hours,Schedule a date with Lola for 3 hours either Saturday or Sunday.,0,Can you tell me when my next block of free time is?,3,Schedule a date with Lola on Saturday for 3 hours.,2,schedule a date with Lola this weekend for 3 hours,1,true
 Decline the sales meeting tomorrow and say I had another meeting at the same time . ," I will decline \"" Sales Meeting \"" and send a response to the organizer with the following comment : \"" I had another meeting at the same time \"" . Is that ok ? ", Accept the invite for next week .,MAKE A ONE HOUR LUNCH THIS AFTERNOON,3,Accept that please.,1,Accept the meeting for next week,0,Accept the meeting for next week,2,true
,, I need to move my meeting with Jeron to later on this week .,Move my meeting with Jeron to later this week.,2,Move my meeting with Jeron to later this week.,1,Move my meeting with Jeron to sometime this week.,0,What do I have on Monday morning?,3,true
 Are there any meetings on my calendar with no attendees next month ? , I did n't find any events with no attendees next month . , Are there any events with no attendees tomorrow ?,Do I have anything with no attendees tomorrow?,1,Do I have anything with no attendees tomorrow?,2,Is there anything on my calendar tomorrow with no attendees?,0,"No, I need it to be 3 and a half hours instead.",3,true
 It is correct . Fran should be uninvited since she is out of town . , How about now ? , Uninvite Fran from the meeting .,Fran should be disinvited since she is out of town.,2,Yes but Fran is out of town now.,0,What is the address of the amphitheater?,1,Set up a meeting with my reports for 2 pm tomorrow.,3,true
 Do I have any dinner dates with Karina this week ? ," No , I did n't find any events with Karina this week . ", Add dinner with Karina Saturday at 8 pm,Schedule dinner with Karina for Saturday at 8 pm.,0,"Will it rain today in Columbia, South Carolina?",3,Can you schedule a meeting with Karina on Saturday at 8 pm?,2,Add dinner with Karina for last Saturday at 8 pm.,1,true
,, How did I respond to Abby 's Birthday Party,Did I RSVP to Abby's Birthday Party?,1,Did I RSVP to Abby's Birthday Party?,2,Did I RSVP to Abby's Birthday Party?,0,The bottom one please,3,true
,, Do I have time to walk the dog before my meeting ?,I need to walk the dog before the meeting.,1,Can you schedule walk the dog __User to end before my meeting?,2,What will the temperature be at 3am tomorrow?,3,I need to walk the dog before my meeting.,0,true
,, Decline the house party and say I have to work,Decline house party invite and say I have to work.,0,Please decline this event.,3,Decline the invite to the house party and say I have to work.,2,Decline house party invite and say I have to work.,1,true
