user_turn_0,agent_turn_0,user_turn_1,option_0,option_0_idx,option_1,option_1_idx,option_2,option_2_idx,option_3,option_3_idx,is_checkmark_page
 I need it later . , Does one of these work ? , Put the first option on the calendar .,Oh I meant Saturday,3,fix the second one,1,fix the first one,0,fix the first one,2,true
" I need to get a haircut on Friday around lunch , thanks ! ", Does one of these work ? ," Schedule it for 12 pm , please . Also , make a Celebratory Dinner with Thomas tomorrow at around 6 : 30 pm .","Schedule the appointment for 12:00 PM. Also, please add Celebratory Dinner with Thomas tomorrow at around 6:30 PM.",2,"No, I need it to be 3 and a half hours long.",3,"Schedule the appointment for 12:00 PM. Also, please schedule a Celebratory Dinner with Thomas tomorrow around 6:30 PM.",1,"Schedule the appointment for 12:00 PM. Also, please schedule a Celebratory Dinner with Thomas tomorrow around 6:30 PM.",0,true
 create time to study tonight at 7 pm . , How 's this ? , I want to make sure that I study for 3 hours tonight .,make that 10-11,3,Make it last 3 hours,1,Book 3 hours to study tonight.,0,Make it last 3 hours tonight.,2,true
 It 's look well ," I 've changed "" Brainstorm Session "" to be at Little Anthony 's Pizza . ", Will it be raining out ?,Will it be rainy?,0,Is it raining now?,2,Oh I meant Saturday,3,Is it raining?,1,true
 What 's on my schedule on Friday ," You have one event on your calendar . Your "" rally "" is on Friday from 9 : 00 to 11 : 00 AM . ", How about on Saturday,What's on my schedule on Saturday?,2,Oh I meant Saturday,0,change the staff meeting to be called staff meeting,3,Oh I meant Saturday,1,true
 do I have anything around 1 pm on Tuesday ? ," Yes , I found one event tomorrow . It 's "" IM Burger "" from 2 : 00 to 2 : 30 . ", Please change this to In N Out Burger and make it around 5 pm,Can you rename that to In N Burger Burger and make it start around 5 pm?,1,Can you rename that to In N Out Burger and make it start around 5 pm instead?,0,Can you change that to be at In N Out Burger and then at around 5 pm?,2,Find me Texas Roadhouse in reno,3,true
 Looks great , I 've put that on your calendar . , What meeting do I have scheduled in 1 hour ?,What meeting do I have in an hour?,2,Fran should be disinvited since she is out of town.,3,What do I have an hour from now?,1,What meeting do I have an hour from now?,0,true
 No ," Ok , I wo n't do anything for now . Let me know what else I can help you with . ", Can you tell me when I have a drs appt this week ?,search for dr appt this week,1,when is my dr appt this week?,0,"Can you change the title to ""staff meeting""",3,Can you search for my dr appt this week?,2,true
 Good can you add a scheduling task get together with Beltron on Monday at 10 am . , Is this good ? , Can you add Barb to the scheduling task ?,Yes and add Barb to the event.,0,search events,3,Can you add Barb to that?,1,Add Barb to the scheduling event.,2,true
 Do I have anything with people attending on my calendar ? ," Yes , I found one event with attendees . It 's "" Go for a Walk "" on Saturday the 22 nd from 1 : 00 to 1 : 30 PM . ", Do I have any events in March with people attending ?,Did I RSVP to Abby's Birthday Party?,3,Do I have any events in March with people attending?,2,Do I have anything in March with people coming?,0,Do I have any events in March with people coming?,1,true
 Are there any events not in Nashville on Tuesday ? ," I found one matching event on your calendar . It 's "" Level 56 Illusion "" on Tuesday the 14 th from 3 : 00 to 3 : 30 PM . ", How many meetings will be held outside Washington this year ?,How many events do I have not in Washington this year?,0,How old are you?,3,What events do I have that are not in Washington this year?,2,What events do I have that are not in Washington this year?,1,true
 I need to move my appointment with Matt to sometime between the 3 rd and 8 th of December . , How is this ? , Can we change that to later in the week ?,create meeting in main room on tuesday at 8,3,I need it to be later in the week.,0,I need it to be later in the week.,2,I need to move it to later this week.,1,true
 show me the star conventions ," The "" star conventions "" is on Saturday from 9 : 00 to 9 : 30 AM . ", show me my interview tomorrow,Can you show me my interview tomorrow?,1,Do I have any events this Spring with Julie?,3,show me tomorrow's interview,2,show me my interview tomorrow,0,true
,," Are there waiters at Buenos Grill in Reno , NV ?",Does Buenos Grill in Reno have takeout?,1,"Does Buenos Grill in Reno, NV have waiter service?",0,Does Buenos Grill in Reno have waiter service?,2,What do I have on Monday morning?,3,true
