user_turn_0,agent_turn_0,user_turn_1,option_list,option_idx_list,option_prob_list
 Move my beach trip to sometime in the beginning of June . , Does one of these work ? , How about late evening ? ,"[""No, I need something later in the evening."", ""No, I need something in the evening."", ""I need something later in the afternoon."", ""No, I need something later in the morning."", ""What about in the evening?"", ""Can you make it later in the night?"", ""What about this evening instead?"", ""What about later that evening?""]","[0, 1, 2, 3, 5, 6, 7, 9]","[""29"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
 Set up a meeting after brunch with Jennifer , Here are some times when you and Jennifer Watts are free tomorrow at 10 : 00 AM . , Okay . Thank you . ,"[""yes""]",[0],"[""81""]"
 Add my breakfast with Tiffany yesterday to my calendar please , Here are some times when you and Tiffany are free yesterday . , Yes but make the event of May 21 st start at 11 AM . ,"[""The second one. And make it at Panera."", ""The breakfast date was at 11:00 am on May 21st."", ""Change the date to May 21 at 11:00 am."", ""change the event on may 21 to 11 am"", ""Please change the event on May 21 to 11 AM."", ""It was at 11 am."", ""change my meeting to may 21 at 11 am"", ""Yes. Also change my Event on May 21 to start at 11 AM"", ""Yes. Please change the date to May 21 at 11:00 AM."", ""Yes, schedule the breakfast for May 21st at 11:00 AM.""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[""5"", ""16"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
 When do I see Chad next ? , The next event with Chad is on Thursday the 24 th at 3 : 00 PM . ," Ok , can I get the details for my next event with Yolanda ? ","[""What is the next event I have with Yolanda?""]",[0],"[""89""]"
 put meeting with denial at Oct 5 , Here are some times when you and Denial Danniels are free . , Can you make the meeting with denial last for six hours ? ,"[""it should be 6 hours long"", ""The meeting will last for 5 hours."", ""It should be an hour long"", ""The meeting will last 3 hours."", ""The meeting will last 2 hours."", ""The meeting will last 4 hours."", ""Make meeting with denial 6 hours long."", ""Make it 2.5 hours"", ""It should be 1.5 hours long."", ""Make it last 200 hours.""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[""59"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
 Please accept my invite to John 's wedding and let him know I bought the gift ," I will accept "" Wedding "" and send a response to the organizer with the following comment : "" I bought the gift "" . Is that ok ? "," Yes , and then could you also accept the BBQ for next week ? ","[""Yes. Please also accept the BBQ invite for next week."", ""Please accept the BBQ invite for next week."", ""THANKS OK, PLEASE INFORM JOHN ABOUT THE WEDNESDAY PARTY"", ""Yes. Please also accept the BBQ invite."", ""Please accept the BBQ invite."", ""Yes. Can you also accept the BBQ day for next week?"", ""Yes. Also accept the BBQ invite for next week.""]","[0, 1, 2, 3, 4, 7, 8]","[""24"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
,, Do I have a meeting at 0830 on Friday ? ,"[""Do I have anything at 0830 on Friday?"", ""Can you tell me when my next block of free time is?"", ""Do I have anything at 0730 on Friday?"", ""Do I have anything at 0930 on Friday?"", ""Do I have anything at 0815 on Friday?"", ""Do I have anything at 0850 on Friday?"", ""Do I have anything scheduled at 0845 on Friday?"", ""Do I have anything at 1930 on Friday?"", ""Do I have anything at 0800 on Friday?""]","[0, 1, 2, 3, 5, 6, 7, 8, 9]","[""57"", ""1"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
 can you make it next week , Here are some times when you and Barack Obama are free . , yes the second one ,"[""Yes the second one"", ""How do I create an event?"", ""Barack Obama canceled on me. Please change the event."", ""Yes the first one, but Barack needs to go for me."", ""thanks for your help"", ""yes"", ""Yes the first one"", ""How about the second one?""]","[0, 2, 3, 4, 5, 6, 7, 9]","[""14"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
 Please schedule some fun time with the kids around noon next Thursday . , Does one of these work ? , Can you actually change it to be around like 8 pm next Friday ,"[""Hmm, can you make that this Friday around 8 pm instead?"", ""Actually can you make it next Friday around 8 pm?"", ""Hmm, can you make that start around 8 pm instead?"", ""Actually, could you make it next Friday instead?"", ""Actually can you make it around 8 pm on Friday?"", ""Hmm, can you make that Friday around 8 pm instead?"", ""Can you update that to be around 8 pm on Friday next week?"", ""Can you update that to be around 8 pm on Friday?""]","[0, 2, 3, 4, 6, 7, 8, 9]","[""53"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
 Does Papa John 's in Mountlake Terrace have takeout ? , I 'm unable to find whether Papa John 's Pizza has takeout . You 'll have to contact them . ," Does the Cracker Barrel in Deerfield Beach , FL have takeout ? ","[""Does Cracker Barrel in Deerfield Beach, FL have takeout?"", ""Does Cracker Barrel Deerfield Beach, FL have takeout?"", ""Does Cracker Barrel in Deerfield Beach have takeout?"", ""Does the Cracker Barrel in Deerfield Beach, FL have takeout?"", ""Does Old Barrel in Deerfield Beach, FL have takeout?"", ""Does Cracker Barrel Deerfield Deerfield Beach, FL have takeout?"", ""Does Cracker Barrel Barrel Beach Beach, FL have takeout?"", ""Does Cracker Barrel Deerfield Beach Beach, FL have takeout?"", ""Does Cracker Barrel in Deerfield Beach, FL takeout?""]","[0, 1, 2, 3, 4, 5, 6, 7, 8]","[""48"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
" Actually , I meant on the 11 th . Thanks ! ", Here are some times when Jane is free on April 11 th . , What about the 13 th ? ,"[""Oh I meant the 13th."", ""The one on the 13th"", ""Let's do the 13th"", ""Let's go with the 13th"", ""Oh, I meant the 13th.""]","[0, 1, 2, 3, 4]","[""22"", ""0"", ""0"", ""0"", ""0""]"
,, I was wondering if the McDonald 's restaurant on Main Street is family oriented ? ,"[""Is McDonald's restaurant on Main Street family friendly?"", ""Is Old's restaurant on Main Street family friendly?"", ""Is P.F.'s restaurant on Main Street family friendly?"", ""Is the McDonald's restaurant on Main Street family friendly?"", ""Is Shangri's restaurant on Main Street family friendly?"", ""Is McDonald's restaurant Street Main Street family friendly?"", ""Is cheesecake's restaurant on Main Street family friendly?"", ""Is National's restaurant on Main Street family friendly?"", ""Is Taqueria's restaurant on Main Street family friendly?"", ""Is Ruby's restaurant on Main Street family friendly?""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[""36"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
,, Can you tell me who answered as maybe to our meeting tomorrow ? ,"[""Who is a maybe for the event tomorrow?""]",[0],"[""90""]"
,, When is the next sales meeting ? ,"[""When is my next sales meeting?""]",[0],"[""89""]"
" Let 's change the appointment with Obama to June 20 at midnight , and Kristen Clifford to November 5 at the British Parliament Building . "," I can only do one action at a time . If you separate your requests , I can help you . ", Can we change the appointment with Obama to June 20 at midnight ? ,"[""Why is that?"", ""Change the appointment with Obama to June 20 at midnight"", ""Change the appointment with Barack Obama to June 20 at midnight"", ""Change the appointment with Obama to June 20 at dinner"", ""Change the appointment with Obama to June 20 at 20 pm"", ""Change my appointment with Obama to June 20 at 20 pm""]","[0, 1, 3, 5, 7, 8]","[""0"", ""64"", ""0"", ""0"", ""0"", ""0""]"
,, Find the date for my doctor 's appointment ,"[""When is my doctor's appointment?""]",[0],"[""89""]"
" Hello , can you reschedule my 12 : 30 lunch meeting with Tom tomorrow to the day after and add Alyssa to it as well ? ", How is this ? ," Yes , that 's good . ","[""Yes it does.""]",[0],"[""100""]"
,, Will it snow during the ski on Saturday ? ,"[""Will it snow for ski on Saturday?""]",[0],"[""87""]"
,, I will be spending a week with Abby starting tomorrow ,"[""I'm spending a week with Abby starting tomorrow"", ""I will be spending with Abby for a week starting tomorrow"", ""I will be spending Abby for a week starting tomorrow"", ""I will be spending a week with Abby starting tomorrow"", ""I will be with Abby for a week starting tomorrow at a conference"", ""I will be with Abby for a week starting tomorrow"", ""Make a meeting with Abby tomorrow"", ""I need to be with Abby for the next week"", ""I will be with Abby for the game starting tomorrow for the entire week""]","[0, 1, 2, 3, 4, 5, 6, 8, 9]","[""23"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
 Yes . Did I meet Malik at all this past week ? ," I 've deleted that . No , I did n't find any events Malik last week . ", The meeting started at 3 : 30 PM because Malik was late . Please correct the entry . ,"[""Malik canceled on me. Please notify."", ""Did I meet with Malik last week?"", ""Thank you."", ""Malik is my contact. I need to update my calendar with him."", ""Change the time to 3:30pm"", ""create meeting at 3:30"", ""Malik and I are going to go to the movie at 3:30 now."", ""Change the meeting time to 3:30 PM.""]","[0, 1, 2, 3, 4, 5, 6, 9]","[""37"", ""9"", ""2"", ""0"", ""13"", ""0"", ""0"", ""0""]"
,," add my performance review for next Monday at 10 am , in conference room 124 ","[""Change the location of the staff meeting tomorrow to Conference Room B.""]",[0],"[""79""]"
 can you tell me what my 4 hour meeting is ? ," "" Appointment "" is from 2 : 00 to 6 : 00 AM . ", ok then . I accept that meeting and will go ,"[""I want to accept that appointment"", ""Defer the meeting with chang"", ""ok"", ""can you change the appointment time"", ""Cancel all my meetings for the rest of the week."", ""I would like to update my calendar"", ""I would like to accept that appointment"", ""go ahead and accept that"", ""go ahead and accept that meeting"", ""can you accept the go meeting""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[""45"", ""1"", ""1"", ""1"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
 make it last for 45 minutes . , Is this the update you want ? , The appointment duration should be for one hour . ,"[""Make it last for an hour.""]",[0],"[""75""]"
 What else do I have going on there ? ," I found one other event at Seattle . It 's "" Play Pong "" on Wednesday the 22 nd from 3 : 00 to 3 : 30 PM . ", update my Lunch Break in Reno to be in Truckee ,"[""Switch my Lunch Break from Reno to Truckee."", ""Switch my Lunch Break in Reno to be in Truckee"", ""Move my Lunch Break in Truckee to be"", ""Move my Lunch Break in Reno to be in Truckee"", ""Switch my Lunch in Reno to Truckee"", ""Switch my Lunch Break __User event in Reno to Truckee"", ""Move my Lunch Break in Truckee to be there instead of in Reno"", ""Move my Lunch Break to Reno to Truckee."", ""Move my Lunch Break in in Reno to Truckee""]","[0, 1, 2, 3, 4, 5, 7, 8, 9]","[""27"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
 Do I have an appointment scheduled with Mitch tomorrow ? ," No , I did n't find any events tomorrow . ", Do I have any lunch meetings with anyone this week ? ,"[""Please schedule a meeting with the pope tomorrow."", ""Do I have any lunch meetings with him this week?"", ""Do I have any lunch meetings with anyone this week?"", ""Do I have any lunch meetings this week?"", ""Do I have any lunch meetings this week with anyone?"", ""Do I have any events with people attending this week?"", ""Do I have lunch with anyone this week?""]","[0, 1, 2, 3, 5, 6, 8]","[""0"", ""16"", ""1"", ""0"", ""0"", ""0"", ""0""]"
 i mean delete the event on saturday , Is this what you want me to cancel ? , actually delete the event on sunday ,"[""Actually delete the event on Sunday."", ""I meant the one on Sunday."", ""Can you show me the event on Sunday?"", ""delete the event on sunday"", ""Actually cancel the event on Sunday."", ""I meant delete the event on Sunday"", ""Actually I meant the one on Sunday."", ""Actually cancel the event on the following Sunday.""]","[0, 1, 2, 3, 6, 7, 8, 9]","[""23"", ""1"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
 Can you add Blake to that too ? , Is this the update you want ? , That works for me now . ,"[""Yes it does.""]",[0],"[""100""]"
 Do I have any meetings on my calendar for April 30 th ? ," Yes , I found one event on Tuesday the 30 th . It 's "" Meeting with Jojo "" from 3 : 00 to 3 : 30 PM . ", Cancel it ! ' ,"[""cancel this meeting""]",[0],"[""100""]"
 When does Jessica have a game at Central State Ballpark ? ," Sorry , I ca n't handle that yet . ", What the time does Jessica have a game at Central State Ballpark ? ,"[""Is Jessica listed as on my address book?""]",[0],"[""75""]"
 I missed my last dentist appointment remove it from my schedule . , Is this what you want me to cancel ? , Please show me first before removing the event . ,"[""Can you re-add it for next week?""]",[0],"[""78""]"
 Correct , I 've put that on your calendar . ," Now schedule another one for Friday , make it start and end the same time , name it Movie Playing : Infinity War ","[""What is the address for the eye doctor today?"", ""Can you make a repeating event for \""disco dance-off party\"" on the first saturday of every month?""]","[0, 1]","[""72"", ""4""]"
,, Make me an event around 8 pm today ,"[""Can you make me an event around 8 pm tonight"", ""Can you tell me when my next block of free time is?"", ""Create an event for tonight at 8pm"", ""Can you make me an event around 8 pm"", ""Make me an event for 8 pm tonight"", ""I need a meeting before 8 pm today"", ""Can you make me an event around 8 am today"", ""Can you make me an event around 8 pm tonight?"", ""Make me an event called 8 that starts around 8 pm today""]","[0, 1, 3, 4, 5, 6, 7, 8, 9]","[""41"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
,, Did I confirm attending the party tomorrow ,"[""Will I be attending the party tomorrow?""]",[0],"[""79""]"
,, I need the time and location for the meeting with Victor and Delia . ,"[""I need to cancel all my meetings for tomorrow."", ""I need to change the date of my doctor's appointment"", ""Where is my meeting with Victor and Delia?"", ""When is my meeting with Victor and Delia?"", ""What is the address of the meeting with Victor and Delia?"", ""What time is my meeting with Victor and Delia?"", ""Find my meeting with Victor and Delia.""]","[0, 1, 2, 3, 4, 5, 6]","[""5"", ""1"", ""43"", ""0"", ""0"", ""0"", ""0""]"
 what are the wind speeds , The wind speed will be 5 . 91 mph in Fairfax tomorrow . , when is sunset ,"[""when is sunset"", ""what time does the sun set"", ""What time does it start?"", ""will it be sunny today"", ""What time is sunrise today?"", ""What time is sunset tomorrow?"", ""what time will the sun set?"", ""what time will the sun set today"", ""What is the traffic like?""]","[0, 1, 2, 4, 5, 6, 7, 8, 9]","[""67"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
,, i need you to decline the event with Josh ,"[""Decline my meeting with Josh"", ""Can you tell me the weather for tomorrow in Greenville, NC?"", ""Decline the meeting with Robert."", ""Decline the event with Josh"", ""Decline with event with Josh"", ""Decline Josh's invitation to the event"", ""Decline the meeting with Josh with decline""]","[0, 1, 2, 4, 7, 8, 9]","[""69"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
 Yes , I 've put that on your calendar . , Make an appointment with Jerry at the Apple Store in San Francisco . ,"[""I'm going to the Apple Store in San Francisco with Jerry"", ""I'm going to the Apple Store with Jerry"", ""I'm meeting Jerry at the Apple in San Francisco"", ""Make an appointment with Jerry at the Store Store in San Francisco."", ""Make an appointment with Jerry at the Apple Store in San Francisco."", ""Make an appointment with Jerry at the Apple in San Francisco in San San Francisco."", ""I also need to visit Jerry at the Apple Store in San Francisco that day""]","[0, 2, 3, 5, 6, 7, 9]","[""46"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
 Yes ! Also please accept the Hollywood Bowl Party and say I ca n't wait to meet Bradley Cooper ! ," I have accepted it . I will accept "" Hollywood Bowl Party "" and send a response to the organizer with the following comment : "" I ca n't wait to meet Bradley Cooper ! "" . Is that ok ? "," Yes ! Also , accept my invitation to go to the movie premiere and say that I 'll be wearing my nicest suit . ","[""Yes. Accept my invitation to go to the movie premiere and say that I'll be wearing my nicest suit."", ""Accept my invitation to go to the movie premiere and say that I'll be wearing my nicest suit."", ""Yes. Accept my invitation to go to the movie premiere and say that I'll wearing wearing my nicest suit."", ""Yes. Accept my invitation to go to movie premiere and say that I'll be wearing my nicest suit."", ""Yes, that's good. Accept my invitation to the movie premiere and say that I'll be wearing my nicest suit."", ""Yes. Accept my invitation to go to the movie on Friday and say that I'll be wearing my nicest suit."", ""Yes. Accept my invite to the movie premiere premiere and say that I'll be wearing my nicest suit."", ""Yes. Accept my invitation to go to the movie premiere and say that I'll wearing my my nicest suit."", ""Yes. Accept my invitation to go to the movie premiere and say that I'll be wearing my nicest suit!""]","[0, 1, 2, 3, 4, 5, 7, 8, 9]","[""54"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
 Is it casual dress ? , I 've encountered an error retrieving information . Please try again later . , Do I have anything else for that day scheduled ? ,"[""Do I have anything else that day?"", ""Do I have anything later that day?"", ""Do I have anything else?"", ""What else do I have that day?"", ""Do I have anything else later that day?""]","[0, 1, 4, 6, 8]","[""52"", ""0"", ""0"", ""0"", ""0""]"
 Is Tandred invited to Boat Party on Sunday at 2 pm ? ," No , Tandred is not invited to the "" Boat Party "" . ", Send him an invite . ,"[""Send an invitation to Tandred."", ""Invite Tandred's parents please."", ""Invite Tandred to the Boat Party and forward the invite to him."", ""please update my events in my calender"", ""Forward it to her."", ""Invite her."", ""Forward it to Allen."", ""Can you invite her manager?"", ""Can you invite Allen?""]","[0, 1, 2, 3, 4, 5, 6, 8, 9]","[""0"", ""0"", ""0"", ""0"", ""16"", ""8"", ""0"", ""0"", ""0""]"
 Make an event to finish BL3 , Does one of these work ? , give me 2 more seconds please ,"[""Let me think about it."", ""FIX THE EVENT IN MY CALENDER"", ""Extend it by 2 more minutes."", ""Extend it by 2 hours."", ""Let's make it last 2 minutes."", ""I need it to be 2 minutes shorter."", ""Add a few more minutes.""]","[0, 1, 2, 3, 5, 7, 8]","[""32"", ""0"", ""11"", ""0"", ""0"", ""0"", ""0""]"
 change the time to 9 pm please , How about now ? , lets go with the first one ,"[""The 1st one works."", ""No, I want it to start at 7 pm."", ""Show me as busy during that time."", ""It's look well"", ""That looks good to me."", ""What is the first event?"", ""ok"", ""That looks good.""]","[0, 1, 2, 3, 5, 6, 7, 8]","[""47"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
 How did I respond to dog sitting ? ," You have accepted the "" Dog Sitting "" invitation . ", Can you tell me if I had anything last January ,"[""Did I have anything last january?"", ""How did I respond to the invite to Mom's birthday party?"", ""Can you show me my events from last january?"", ""What do I have going on in January?"", ""Do I have anything in January?"", ""How many events did I have last january?"", ""How many events do I have in January?"", ""What did I have scheduled for last January?"", ""Did I have anything in January?"", ""Did I have anything with people attending last January?""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[""41"", ""0"", ""1"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
,, I need to schedule vocal training for Saturday to Sunday . ,"[""Add to schedule \""vocal training\"" on Saturday and Sunday."", ""Can you schedule a \""vocal training\"" from Sunday until Sunday?"", ""Can you add the victory training to Saturday through Sunday?"", ""yes i am ready""]","[0, 5, 6, 9]","[""0"", ""0"", ""0"", ""0""]"
 That 's exactly right . , I 've put that on your calendar . , I am going out for appetizers after the game so put that on the schedule . ,"[""After the game I am going out for appetizers.""]",[0],"[""83""]"
 When is my 3 rd event with Elli on March 20 th ? , The 3 rd event with Elli on Friday the 20 th is at 2 : 00 PM . , What is my third event this month with Elli ? ,"[""What is my third event with Elli this month?"", ""What is my third event this month with Elli?"", ""What is my third event this month?"", ""What is the name of my third event with Elli this month?"", ""What is my third event with Elli next month?"", ""When is my third event with Elli this month?"", ""What is my last meeting with Elli this month?"", ""What is the other event with Elli this month?"", ""What is my third one with Elli this month?""]","[0, 1, 2, 3, 4, 5, 6, 7, 8]","[""66"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
 Schedule a group discussion for Friday morning at 7 am . , Is this what you 're looking for ? , Looks right . What else do I have on that morning ? ,"[""Yes. What do I have that morning?"", ""Yes. What else do I have that morning?"", ""What else do I have that morning?""]","[0, 1, 5]","[""0"", ""0"", ""0""]"
